Disease Areas	Title	Investigator	Organization	Phase	Trial Status	Targeted Enrollment	NCT Number	Grant Number	Grant Status	Award Value	Technology
Age-related macular degeneration	Phase 1 Safety Assessment of CPCB-RPE1, hESC-derived RPE Cell Coated Parylene Membrane Implants, in Patients with Advanced Dry Age Related Macular Degeneration	Dr. Mark S Humayun	University of Southern California	Phase 1	Unknown status	16.0	NCT02590692	DR3-07438	Closed	16339826.54	cell therapy
Age-related macular degeneration	A Phase 2b, Randomized, Assessor-Masked Clinical Trial to Assess the Safety and Efficacy of the CPCB-RPE1 Implant in Subjects with Geographic Atrophy	Dr Jane S Lebkowski	Regenerative Patch Technologies LLC	Phase 2	Launching			CLIN2-14787	Active	12373748.0	
Alpha Thalassemia Major	In Utero Hematopoietic Stem Cell Transplantation For The Treatment Of Fetuses With Alpha Thalassemia Major	Dr. Tippi C. Mackenzie MD	University of California, San Francisco	Phase 1	Enrolling by invitation	10.0	NCT02986698	CLIN2-09183	Active	10906978.0	cell therapy
Amyotrophic Lateral Sclerosis	A Phase 3, Randomized, Placebo-controlled Multicenter Study to Evaluate Efficacy & Safety of Repeated Administrations of NurOwn® in Patients with ALS	Dr. Ralph Kern	BrainStorm Cell Therapeutics	Phase 3	Completed	263.0	NCT03280056	CLIN2-09894	Closed	15912390.0	cell therapy
Amyotrophic Lateral Sclerosis	Progenitor Cells Secreting GDNF for the Treatment of ALS	Professor Clive N Svendsen	Cedars-Sinai Medical Center	Phase 1/2	Completed	18.0	NCT02943850	CLIN2-09284	Closed	6154067.0	cell therapy
Amyotrophic Lateral Sclerosis	CNS10-NPC-GDNF delivered into the motor cortex for the treatment of ALS	Clive Svendsen	Cedars-Sinai Medical Center	Phase 1	Launching			CLIN2-12319	Active	11990372.0	
Anemia, Bone Marrow Transplant and Viral Infection	Sequential same donor αβdepleted-HSCT from an HLA-partially matched donor allowing immunosuppression free kidney transplant	Alice Bertaina	Stanford University	Phase 1/2	Launching			CLIN2-14024	Active	11998188.0	
Anemia	Reduced intensity conditioning with JSP191 prior to TCRαβ+ T-cell/CD19+ B-cell depleted hematopoietic stem cell transplant for Fanconi Anemia patients	Dr. Matthew H Porteus	Stanford University	Phase 1/2	Launching			CLIN2-14315	Active	10642420.0	
Anemia	Treatment of Severe Aplastic Anemia by induction of mixed chimerism using CD4+ T cell depleted haploidentical donor stem cell transplant	Ryotaro Nakamura	City of Hope, Beckman Research Institute	Phase 1	Launching			CLIN2-14068	Active	9054216.0	
Arthritis, Osteoarthritis	Evaluation of the Safety and Tolerability of KA34 in a Phase 1, Double-Blind, Dose Escalation Trial in Patients with Knee Osteoarthritis	Dr. Kristen A Johnson	Calibr	Phase 1	Completed	60.0	NCT03133676	CLIN2-10388	Closed	8447523.0	small molecule drug
B cell cancers, Leukemia	A Phase 1b/2a Study of the ROR1-Targeting Monoclonal Antibody, Cirmtuzumab, and the Bruton Tyrosine Kinase Inhibitor, Ibrutinib, in B-Cell Cancers	Thomas J Kipps	University of California, San Diego	Phase 1/2	Active, not recruiting	102.0	NCT03088878	CLIN2-10192	Closed	18292674.0	biologic drug
B cell cancers, Leukemia	Phase 1 Study of CD19/CD22 Chimeric Antigen Receptor (CAR) T Cells in Adults with Recurrent or Refractory B Cell Malignancies	Dr. David B. Miklos	Stanford University	Phase 1	Recruiting	60.0	NCT03233854	CLIN2-10846	Active	11034982.0	cell therapy
B cell cancers, Leukemia, Leukemia, Acute Myeloid (AML)	Phase 1/1b study of  T-allo10 infusion after HLA-partially matched abdepleted-HSCT in children and young adults with hematologic malignancies.	Dr. Matthew H Porteus	Stanford University	Phase 1	Recruiting	22.0	NCT04640987	CLIN2-12563	Active	10563822.0	
B cell cancers	AB-205-301 Phase 3 Trial and Related Activities to Support Clinical Development of AB-205	Dr. Paul Finnegan	Angiocrine Bioscience, Inc.	Phase 3	Recruiting	148.0	NCT05181540	CLIN2-14302	Active	15000000.0	
Beta Thalassemia	A Phase 1/2 Study to Assess the Safety, Tolerability, and Efficacy of ST-400 Autologous HSPC Transplant in Transfusion-dependent β-Thalassemia	Bettina Cockroft	Sangamo BioSciences, Inc.	Phase 1/2	Completed	5.0	NCT03432364	CLIN2-11031	Closed	5150000.0	cell therapy
Bladder or Urinary Tract Disorder	Phase I Treatment of Urethral Strictures in Humans	James Yoo	Wake Forest University Health Sciences	Phase 1	Not yet recruiting	10.0	NCT03258658	CLIN2-13267	Active	3841593.0	
Blood Cancer	AB-110-001 Phase 1b Trial and Related Activities to Support Clinical Development of AB-110	Dr. Edward Kavalerchik	Angiocrine Bioscience, Inc.	Phase 1	Completed	10.0	NCT03483324	CLIN2-10386	Closed	5000000.0	biologic drug
Blood Cancer	Therapeutic Eradication of Cancer Stem Cells with UC-961 (Cirmtuzumab)	Thomas J Kipps	University of California, San Diego	Phase 1	Completed	26.0	NCT02222688	DR3-06924	Closed	4179598.0	biologic drug
Blood Cancer, Solid Tumors	Clinical Investigation of a Humanized Anti-CD47 Antibody in Targeting Cancer Stem Cells in Hematologic Malignancies and Solid Tumors	Dr. Irving L Weissman MD	Stanford University	Phase 1	Completed	88.0	NCT02216409	DR3-06965	Closed	6505568.0	biologic drug
Blood Cancer, Bone Marrow Transplant and Viral Infection	Antiviral Cellular Therapy for Enhancing T-cell Reconstitution Before or After Hematopoietic Stem Cell Transplantation (ACES)	Michael A. Pulsipher	Children’s Hospital of Los Angeles	Phase 1/2	Active, not recruiting	60.0	NCT03475212	CLIN2-10392	Active	4825587.0	cell therapy
Blood Cancer	Trial of AB-205 in Adults With Lymphoma Undergoing High-Dose Therapy and Autologous Stem Cell Transplantation	Dr. Edward Kavalerchik	Angiocrine Bioscience, Inc.	Phase 1|Phase 1/2	Completed	42.0	NCT03925935	CLIN2-11371	Closed	6192579.0	biologic drug
Bone or Cartilage Disease	A Phase I Clinical Trial for a Lentiviral Gene Therapy Targeting the TCIRG1 Gene for Infantile Malignant Osteopetrosis (IMO)	Dr. Gayatri Rao	Rocket Pharmaceuticals, Inc.	Phase 1	Closed	1.0	NCT04525352	CLIN2-12095	Closed	1010000.0	
Bone or Cartilage Disease, Hearing Loss, Intellectual Disability, Metabolic Disorders, Vision Loss	A Phase I Open Label Study to Evaluate the Safety and Tolerability of ISP-001 in Patients with Mucopolysaccharidosis Type 1	Dr Robert Hayes	Immusoft Corporation	Phase 1	Launching			CLIN2-14416	Active	8000000.0	
Brain Cancer	Phase I Study of Chimeric Antigen Receptor Engineered Central Memory T cells for the Treatment of Malignant Glioma	Dr. Christine E. Brown	City of Hope, Beckman Research Institute	Phase 1	Active, not recruiting	82.0	NCT02208362	CLIN2-10248	Closed	12753854.0	cell therapy
Brain Cancer	A Phase III randomized double-blind, controlled study of ICT 107 with maintenance temozolomide (TMZ) in newly diagnosed glioblastoma following resection and concomitant TMZ chemoradiotherapy	Anthony J. Gringeri	ImmunoCellular Therapeutics	Phase 3	Suspended	234.0	NCT02546102	CLIN2-08280	Closed	5391016.0	cell therapy
Brain Cancer, Breast Cancer	A Phase I Study of Chimeric Antigen Receptor Engineered Stem/Memory T Cells for the Treatment of HER2-Positive Brain Metastases	Dr Saul J Priceman	City of Hope, Beckman Research Institute	Phase 1	Recruiting	39.0	NCT03696030	CLIN2-11574	Active	9015149.0	cell therapy
Brain Cancer	Phase I Study of IL13Rα2-Targeting CAR T Cells After Lymphodepletion for Children with Refractory or Recurrent Malignant Brain Tumors	Dr. Leo D Wang	City of Hope, Beckman Research Institute	Phase 1	Recruiting	18.0	NCT04510051	CLIN2-12153	Active	8401309.0	
Brain Cancer	Phase 1 Clinical Trial of Autologous GD2 Chimeric Antigen Receptor T Cells for Diffuse Intrinsic Pontine Gliomas and Spinal Diffuse Midline Glioma	Crystal Mackall	Stanford University	Phase 1	Recruiting	54.0	NCT04196413	CLIN2-12595	Active	11998310.0	
Brain Cancer	A Phase I Study of Multiple doses of NSC-Based Oncolytic Virotherapy Administered Intracerebrally to Patients with Recurrent High-Grade Gliomas	Dr Jana Portnow	City of Hope, Beckman Research Institute	Phase 1	Launching			CLIN2-13162	Active	11999984.0	
Brain Cancer	Phase I Trial of Locoregionally Delivered Autologous B7-H3 CAR T Cells (B7-H3CART) in Adults with Recurrent Glioblastoma Multiforme	Dr. Reena Parada Thomas	Stanford University	Phase 1	Launching			CLIN2-15094	Active	11999991.0	
Colon Cancer	A Phase 1b/2 Trial of the Anti-CD47 Antibody Hu5F9-G4 in Combination with Cetuximab in Patients with Solid Tumors and Advanced Colorectal Cancer	Mark Chao	Forty Seven Inc.	Phase 1/2	Completed	78.0	NCT02953782	CLIN2-09577	Closed	0.0	biologic drug
Colon Cancer	TACH101: A Potent, First-In-Class KDM4 Inhibitor for Advanced Cancers	Ivan King	Tachyon Therapeutics, Inc	Phase 1	Launching			CLIN2-14232	Active	7141843.0	
Corneal Damage	Safety and Feasibility of Cultivated Autologous Limbal Stem Cells for Limbal Stem Cell Deficiency	Dr. Sophie X Deng	University of California, Los Angeles	Phase 1	Recruiting	20.0	NCT03957954	CLIN2-11650	Active	10301486.0	cell therapy
Corneal Damage	Phase 2b Clinical Study of KPI-012 Topical Ophthalmic Human Mesenchymal Stem Cell Secretome for the Treatment of Persistent Corneal Epithelial Defect	R. Kim Brazzell	Combangio, Inc.	Phase 2	Launching			CLIN2-14516	Active	15000000.0	
COVID-19, Respiratory Disorders	Evaluation and Characterization of SARS-CoV-2 Antibody in Convalescent Volunteer Plasma Donors for Potential Therapeutic Use	Prof. John A Zaia	City of Hope, Beckman Research Institute	Phase 1	Launching			CLIN2COVID19-11775	Closed	999999.0	
COVID-19	Mesenchymal Stromal Cells for ARDS (COVID positive and COVID negative)	Dr. Michael Matthay MD	University of California, San Francisco	Phase 2	Active, not recruiting	120.0	NCT03818854	CLIN2COVID19-11823	Active	701049.0	
COVID-19, Respiratory Disorders	A phase I/II study of human placental hematopoietic stem cell derived natural killer cells (CYNK-001) for the treatment of adults with COVID-19	William van der Touw	Celularity Inc.	Phase 1/2	Active, not recruiting	86.0	NCT04365101	CLIN2COVID19-11857	Closed	315000.0	
Cystinosis, Kidney Failure	Phase 1/2 study for autologous human CD34+ hematopoietic stem cells ex vivo transduced with pCCL-CTNS lentiviral vector for treatment of Cystinosis.	Dr. Stephanie Cherqui	University of California, San Diego	Phase 1/2	Active, not recruiting	6.0	NCT03897361	CLIN2-11478	Active	11999944.0	cell therapy
Developmental Disorders, Spina Bifida	The CuRe Trial: Cellular Therapy for In Utero Myelomeningocele Repair and The CuRe Trial: Cellular Therapy for In Utero Repair of Myelomeningocele	Dr. Diana L. Farmer	University of California, Davis	Phase 1|Phase 2	Recruiting	55.0	NCT04652908	CLIN2-12129	Active	8996474.0	
Developmental Disorders, Spina Bifida	The CuRe Trial: Cellular Therapy for In Utero Myelomeningocele Repair and The CuRe Trial: Cellular Therapy for In Utero Repair of Myelomeningocele	Dr. Diana L. Farmer	University of California, Davis	Phase 1|Phase 2	Recruiting	55.0	NCT04652908	CLIN2-15115	Pre-Active	8996477.0	
Epilepsy	FIH Study of NRTX-1001 Neural Cell Therapy in Drug-Resistant Unilateral Mesial Temporal Lobe Epilepsy	Dr. Cory R Nicholas	Neurona Therapeutics	Phase 1	Recruiting	40.0	NCT05135091	CLIN2-13355	Active	7999999.0	
Genetic Disorder, Immune Disease, Pediatrics, Severe Combined Immunodeficiency, Adenosine deaminase-deficient (ADA-SCID)	Efficacy and safety of cryopreserved autologous CD34+ HSC transduced with EFS lentiviral vector encoding for human ADA gene in ADA-SCID subjects	Dr. Donald B Kohn	University of California, Los Angeles	Phase 2	Completed	10.0	NCT02999984	CLIN2-09339-A	Closed	10156924.89	cell therapy
Genetic Disorder, Immune Disease, Pediatrics, Severe Combined Immunodeficiency, Adenosine deaminase-deficient (ADA-SCID)	Efficacy and safety of cryopreserved autologous CD34+ HSC transduced with EFS lentiviral vector encoding for human ADA gene in ADA-SCID subjects	Leslie Meltzer	Orchard Therapeutics plc	Phase 2	Completed	10.0	NCT02999984	CLIN2-09339-B	Closed	2638745.0	cell therapy
Genetic Disorder, Immune Disease, Pediatrics, Severe Combined Immunodeficiency, Adenosine deaminase-deficient (ADA-SCID)	Efficacy and safety of cryopreserved autologous CD34+ HSC transduced with EFS lentiviral vector encoding for human ADA gene in ADA-SCID subjects	Dr. Donald B. Kohn	University of California, Los Angeles	Phase 2	Completed	10.0	NCT02999984	CLIN2-09339-C	Active	5827000.0	cell therapy
Heart disease associated with Duchenne muscular dystrophy	Allogeneic Cardiosphere-Derived Cells for Duchenne Muscular Dystrophy Cardiomyopathy	Dr. Linda Marban	Capricor, Inc	Phase 2	Completed	25.0	NCT02485938	CLIN2-08334	Closed	3376259.0	cell therapy
Heart failure	Allogeneic Cardiac-Derived Stem Cells for Patients Following a Myocardial Infarction	Dr. Rachel Ruckdeschel Smith	Capricor, Inc	Phase 2	Closed	156.0	NCT01458405	DR2A-05735	Closed	14405857.0	cell therapy
Heart failure	A Phase I, Pilot Study of Human Embryonic Stem Cell-Derived Cardiomyocytes in PaTients with ChrOnic Ischemic Left VentRicular Dysfunction (HECTOR)	Dr. Joseph C. Wu	Stanford University	Phase 1	Recruiting	18.0	NCT05068674	CLIN2-12735	Active	6987507.0	
HIV-related Lymphoma, HIV/AIDS	Stem Cell Gene Therapy for HIV Mediated by Lentivector Transduced, Pre-selected CD34+ Cells in AIDS lymphoma patients	Dr Mehrdad Abedi	University of California, Davis	Phase 1/2	Active, not recruiting	11.0	NCT02797470	CLIN2-08289	Active	8414265.0	gene therapy
HIV/AIDS	GENE-MODIFIED HEMATOPOIETIC STEM/PROGENITOR CELL BASED THERAPY FOR HIV DISEASE	Geoff Symonds	Calimmune, Inc.	Phase 1/2	Completed	13.0	NCT01734850	DR1-06893	Closed	8278722.0	gene therapy
HIV/AIDS	A Phase I, Open-Label Study To Assess The Safety, Feasibility and Engraftment of Zinc Finger Nucleases (ZFN) CCR5 Modified Autologous CD34+ Hematopoietic Stem/Progenitor Cells (SB-728MR-HSPC) with Escalating Doses of Busulfan In HIV-1 (R5) Infected Subjects with Suboptimal CD4 Levels on cART	Prof. John A Zaia	City of Hope, Beckman Research Institute	Phase 1	Active, not recruiting	12.0	NCT02500849	SP3A-07536	Closed	5583438.0	cell therapy
HIV/AIDS, Immune Disease	Anti-HIV duoCAR-T cell therapy for HIV infection	Steven G. Deeks	University of California, San Francisco	Phase 1/2	Recruiting	18.0	NCT04648046	CLIN2-12090	Active	8970732.0	
HIV/AIDS	Phase 1 Clinical research program for functional cure of HIV with EBT-101, in-vivo gene therapy	William Kennedy	Excision BioTherapeutics	Phase 1	Recruiting	9.0	NCT05144386	CLIN2-13310	Active	6852486.0	
HIV/AIDS	Evaluation of Safety and Feasibility of Cytomegalovirus-Specific, Anti-HIV Chimeric Antigen Receptor (CMV/HIV-CAR) T Cells in People with HIV	Prof. John A Zaia	City of Hope, Beckman Research Institute	Phase 1	Launching			CLIN2-14748	Active	11299976.0	
Huntington's Disease	MSC engineered to produce BDNF for the treatment of Huntington's disease	Dr. Vicki Wheelock	University of California, Davis	Phase 1/2	Completed	29.0	NCT01937923	DR2A-05415	Closed	8924235.0	cell therapy
Immune Disease, Pediatrics, X-linked Chronic Granulomatous Disease	A Phase I/II, Non Randomized, Multicenter, Open-Label Study of G1XCGD (Lentiviral Vector Transduced CD34+ Cells) in Patients With X-Linked Chronic Granulomatous Disease	Dr. Donald B. Kohn	University of California, Los Angeles	Phase 1/2	Recruiting	16.0	NCT02234934	CLIN2-08231	Active	7083364.0	gene therapy
Immune Disease, Severe Combined Immunodeficiency, X-linked (X-SCID)	Lentiviral Gene Therapy for Infants with X-linked Severe Combined Immunodeficiency using Autologous Bone Marrow Stem Cells and Busulfan Conditioning	Stephen Gottschalk	St. Jude Children’s Research Hospital	Phase 1/2	Suspended	28.0	NCT01512888	CLIN2-09504	Active	11924780.0	gene therapy
Immune Disease, Pediatrics, Severe Combined Immunodeficiency, X-linked (X-SCID)	A monoclonal antibody that depletes blood stem cells and enables chemotherapy free transplants	Dr. Judith A Shizuru	Stanford University	Phase 1/2	Recruiting	40.0	NCT02963064	DR2A-05365	Closed	18990683.4	biologic drug
Immune Disease, Pediatrics, Severe Combined Immunodeficiency, X-linked (X-SCID)	A monoclonal antibody that depletes blood stem cells and enables chemotherapy free transplants	Dr. Judith A Shizuru	Stanford University	Phase 1/2	Recruiting	40.0	NCT02963064	CLIN2-11431-A	Closed	1113486.7	biologic drug
Immune Disease, Pediatrics, Severe Combined Immunodeficiency, X-linked (X-SCID)	A monoclonal antibody that depletes blood stem cells and enables chemotherapy free transplants	Wendy Pang	Jasper Therapeutics, Inc.	Phase 1/2	Recruiting	40.0	NCT02963064	CLIN2-11431-B	Active	2313398.0	biologic drug
