name	UMLS	MSH
Gsk256066	C2934026	C549469
Gw870086	C3659427	C581038
Sb705498	C1744311	C512301
Gsk2018682	C4549166	C000625977
Gw597901	C3530051	C576936
Srt501	C2002402	D000077185
Gw766994	C3886130	C000593393
Gsk1004723	C3177195	C558853
Gsk1004723	C3177195	C558853
Gsk835726	C3177194	C558852
Gsk1018921	C3253188	C562323
Gsk931145	C3253619	C561922
Gsk1059615	C2703119	None
Gsk1070806	C4278474	C000608195
Gsk1292263	C3852542	C587902
Gsk1322322	C3711860	C583947
Gsk1360707	C3713902	C557997
Gsk1482160	C4079824	C000604998
Gsk1521498	C3253174	C568078
Gsk163090	C3852548	C587791
Gsk2374697	C4045451	C000594852
Gsk239512	C3712181	C584220
Gsk2485852	C3849072	C588298
Gsk256073	C4079835	C000604188
Gsk315234	C3851694	C000590132
Gsk461364	C2347618	C561573
Gsk598809	C3886165	C000594007
Gsk679586	C3658590	C582664
Gsk835726	C3177194	C558852
Gw274150	C0914699	C409004
Gw328267	C2742038	C545367
Gw559090	C4079641	C000602898
Sb649868	C3180886	C557781
Gsk1034702	C3253012	C568644
Gsk424887	C3714228	C584556
Gsk2336805	C4045304	C000595241
Gsk690693	C2347443	C528328
Gsk2256098	C2981865	C000600809
Gsk1995057	C5196682	C000629862
Gsk1572932a	C2984506	None
Gsk2245035	C4079591	C000603511
Gsk356278	C3886520	C000590928
Gsk2618960	C5392354	C000705473
Gsk2862277	C4279387	C000605830
Gsk2256294	C3713989	C584201
Gsk2647544	C4505911	C000615596
Gsk2132231a	C4053638	None
Sb719125	C5576950	None
Gsk2302032a	C3896844	None
Gsk2302025a	C2985195	None
Gsk2315698	C4727783	C000709571
gsk2398852	C4727784	None
Gsk2881078	C4705766	C000627232
Gsk3050002	C4705543	C000626978
Gsk2636771	C3827123	C000627739
Gsk2878175	C5565730	C000718753
Gsk2849330	C3827121	C000622373
Gsk3117391	C5139715	None
Gsk369796	C3884469	C540176
Asp8477	C5198241	C000632156
Gsk2130579a	C2700264	None
Gsk3008348	C4742753	C000628558
Gsk2981278	C5227418	C000654586
Gsk2982772	C5392621	C000708951
Gsk2798745	C5226839	C000656065
Gsk2302024a	C3896845	None
Gsk2838232	C5196507	C000629546
Gsk1940029	C5392505	C000707549
Gsk3008356	C5433906	C000709851
Gsk2292767	C4078791	C000603799
Gsk2256098	C2981865	C000600809
Gsk1557484a	C3179804	C556153
Gsk3052230	C5442040	C559041
Gsk2981710	C5392405	C000706131
Gsk2879552	C3827120	C000602008
Gsk2816126	C3660728	C577920
Asp1707	C5392742	C000708087
Asp8232	C5198358	C000633847
Asp3652	C5565723	C000719587
Cfz533	C4548814	C000626035
Gsk1795091	C4287760	C000712933
Asp5878	C4053679	C000615784
glycerol	C0017861	None
Gsk2646264	C5198173	C000631066
Gsk3640254	C5772748	C000723722
Gsk1120212	C2703095	C560077
Sb257049	C5565453	C000719547
Cad106	C4305639	None
Cnp520	C4742765	C000628578
Asp0113	C3827159	None
