text	preferredTerm	entityId	confidence	HPO	MSH
10-valent pneumococcal polysaccharide and non-typeable haemophilus influenzae protein d conjugate vaccine	pneumococcal polysaccharide, type 37;Polyvalent pneumococcal vaccine;pneumococcal polysaccharide 6a;pneumococcal polysaccharide 6b	UMLS/C0245576;UMLS/C0305065;UMLS/C1098021;UMLS/C1098022	0.5190078020095825		MSH/C058381;MSH/D022242;MSH/C437065;MSH/C437065
12-valent pneumococcal polysaccharide and non-typeable haemophilus influenzae protein d conjugate vaccine	pneumococcal polysaccharide, type 37;Polyvalent pneumococcal vaccine;pneumococcal polysaccharide 6a;pneumococcal polysaccharide 6b	UMLS/C0245576;UMLS/C0305065;UMLS/C1098021;UMLS/C1098022	0.609725832939148		MSH/C058381;MSH/D022242;MSH/C437065;MSH/C437065
Abacavir	abacavir	UMLS/C0663655	0.9603832364082336		MSH/C106538
Abacavir/lamivudine	abacavir / lamivudine	UMLS/C1613391	0.552099883556366		MSH/C492871
Abacavir/lamivudine/zidovudine	abacavir	UMLS/C0663655	0.9580701589584351		MSH/C106538
Acetylsalicylic acid/pantoprazole	aspirin	UMLS/C0004057	0.6609262824058533		MSH/D001241
Adefovir/lamivudine	adefovir	UMLS/C0050175	0.9758250117301941		MSH/C053001
Albiglutide	albiglutide	UMLS/C2607479	0.9908285737037659		MSH/C534611
Albiglutide/metformin	albiglutide	UMLS/C2607479	0.6554814577102661		MSH/C534611
Alisporivir					
Alitretinoin	alitretinoin	UMLS/C0281666	0.9982038736343384		MSH/D000077556
Alpelisib	alpelisib	UMLS/C4055478	0.9909002780914307		MSH/C585539
Amlodipine/benazepril hcl	amlodipine / benazepril	UMLS/C0717411	0.7397399544715881		
Amlodipine/enalapril	enalapril	UMLS/C0014025	0.5489432215690613		MSH/D004656
Amlodipine/losartan	amlodipine	UMLS/C0051696	0.9745073914527893		MSH/D017311
Amlodipine/rosuvastatin	amlodipine	UMLS/C0051696	0.9687915444374084		MSH/D017311
Amoxicillin/clavulanic acid	amoxicillin / clavulanate	UMLS/C0054066	0.7776407599449158		MSH/D019980
Artesunate/chlorproguanil/dapsone	artesunate	UMLS/C0052432	0.946690559387207		MSH/D000077332
Atorvastatin/glimepiride	glimepiride	UMLS/C0061323	0.5167374014854431		MSH/C057619
Batefenterol	batefenterol	UMLS/C4519138	0.9968811273574829		MSH/C588122
Belimumab	belimumab	UMLS/C1723401	0.9961068630218506		MSH/C511911
Benzoyl peroxide/clindamycin	benzoyl peroxide	UMLS/C0005088	0.9544157385826111		MSH/D001585
Benzoyl peroxide/clindamycin phosphate	benzoyl peroxide / clindamycin	UMLS/C1720375	0.7177574634552002		MSH/C466951
