from	to
UMLS/C0038454	HPO/HP:0001297
UMLS/C0003873	HPO/HP:0001370
UMLS/C0030193	HPO/HP:0012531
UMLS/C0023470	HPO/HP:0012324
UMLS/C0040264	HPO/HP:0000360
UMLS/C0023418	HPO/HP:0001909
UMLS/C0033038	HPO/HP:0012876
UMLS/C0011854	HPO/HP:0100651
UMLS/C0002453	HPO/HP:0000141
UMLS/C0242339	HPO/HP:0003119
UMLS/C0041755	HPO/HP:0020172
UMLS/C0004238	HPO/HP:0005110
UMLS/C0020443	HPO/HP:0003124
UMLS/C0011849	HPO/HP:0000819
UMLS/C0037274	HPO/HP:0000951
UMLS/C0026764	HPO/HP:0006775
UMLS/C0004153	HPO/HP:0002621
UMLS/C0042963	HPO/HP:0002013
UMLS/C0027796	HPO/HP:0033345
UMLS/C0002871	HPO/HP:0001903
UMLS/C0015967	HPO/HP:0001945
UMLS/C0020538	HPO/HP:0000822
UMLS/C0009319	HPO/HP:0002583
UMLS/C0007095	HPO/HP:0100570
UMLS/C0035222	HPO/HP:0033677
UMLS/C0035455	HPO/HP:0012384
UMLS/C3463824	HPO/HP:0002863
UMLS/C0013595	HPO/HP:0000964
UMLS/C0023895	HPO/HP:0001410
UMLS/C0036508	HPO/HP:0001051
UMLS/C0919267	HPO/HP:0100615
UMLS/C0206754	HPO/HP:0100634
UMLS/C0003811	HPO/HP:0011675
UMLS/C0014868	HPO/HP:0100633
UMLS/C0494475	HPO/HP:0032677
UMLS/C1140680	HPO/HP:0100615
UMLS/C0033860	HPO/HP:0003765
UMLS/C0002726	HPO/HP:0011034
UMLS/C0038012	HPO/HP:0033631
UMLS/C0025202	HPO/HP:0002861
UMLS/C0029456	HPO/HP:0000939
UMLS/C0002395	HPO/HP:0002511
UMLS/C0010346	HPO/HP:0100280
UMLS/C0037199	HPO/HP:0000246
UMLS/C0011581	HPO/HP:0000716
UMLS/C0026847	HPO/HP:0007269
UMLS/C0010200	HPO/HP:0012735
UMLS/C0035344	HPO/HP:0500049
UMLS/C0948089	HPO/HP:0033678
UMLS/C0002170	HPO/HP:0001596
UMLS/C0004153	HPO/HP:0002635
UMLS/C0029882	HPO/HP:0000388
UMLS/C0042109	HPO/HP:0001025
UMLS/C0497327	HPO/HP:0000726
UMLS/C0002170	HPO/HP:0002293
UMLS/C0152020	HPO/HP:0002578
UMLS/C0032285	HPO/HP:0002090
UMLS/C0030305	HPO/HP:0001733
UMLS/C0023473	HPO/HP:0005506
UMLS/C0006625	HPO/HP:0004326
UMLS/C0007131	HPO/HP:0030358
UMLS/C0007222	HPO/HP:0001626
UMLS/C0032797	HPO/HP:0011891
UMLS/C0031117	HPO/HP:0009830
UMLS/C0028768	HPO/HP:0000722
UMLS/C2239176	HPO/HP:0001402
UMLS/C0011644	HPO/HP:0100324
UMLS/C0005586	HPO/HP:0007302
UMLS/C1262313	HPO/HP:0020101
UMLS/C0035309	HPO/HP:0000479
