from	to
UMLS/C0029882	MSH/D010033
UMLS/C0020538	MSH/D006973
UMLS/C3495559	MSH/D001171
UMLS/C0024899	MSH/D008415
UMLS/C0006826	MSH/D009369
UMLS/C1263846	MSH/D001289
UMLS/C0027796	MSH/D009437
UMLS/C0004096	MSH/D001249
UMLS/C0019342	MSH/D006558
UMLS/C0004153	MSH/D050197
UMLS/C0037199	MSH/D012852
UMLS/C0026846	MSH/D009133
UMLS/C0038013	MSH/D013167
UMLS/C0015967	MSH/D005334
UMLS/C0032371	MSH/D011051
UMLS/C0020443	MSH/D006937
UMLS/C0525045	MSH/D019964
UMLS/C0011397	MSH/D003781
UMLS/C0011854	MSH/D003922
UMLS/C0036421	MSH/D012595
UMLS/C0004936	MSH/D001523
UMLS/C0028768	MSH/D009771
UMLS/C0029458	MSH/D015663
UMLS/C0030567	MSH/D010300
UMLS/C0019159	MSH/D006506
UMLS/C0024530	MSH/D008288
UMLS/C0009241	MSH/D003072
UMLS/C2973725	MSH/D000081029
UMLS/C0019196	MSH/D006526
UMLS/C0035204	MSH/D012120
UMLS/C0035309	MSH/D012164
UMLS/C0028840	MSH/D009798
UMLS/C0026764	MSH/D009101
UMLS/C0002726	MSH/D000686
UMLS/C0014549	MSH/D004830
UMLS/C0035344	MSH/D012178
UMLS/C1140680	MSH/D010051
UMLS/C1609535	MSH/D058365
UMLS/C0019348	MSH/D006561
UMLS/C0019372	MSH/D006566
UMLS/C0026847	MSH/D009134
UMLS/C0017921	MSH/D006009
UMLS/C0026769	MSH/D009103
UMLS/C0004623	MSH/D001424
UMLS/C0035258	MSH/D012148
UMLS/C0024437	MSH/D008268
UMLS/C2239176	MSH/D006528
UMLS/C0042373	MSH/D014652
UMLS/C1262313	MSH/D000072742
UMLS/C0752341	MSH/D020953
UMLS/C0579233	MSH/D013292
UMLS/C0398650	MSH/D016553
UMLS/C0040436	MSH/D014077
UMLS/C0043250	MSH/D014947
UMLS/C0020542	MSH/D006976
UMLS/C0018801	MSH/D006333
UMLS/C0002895	MSH/D000755
UMLS/C0024141	MSH/D008180
UMLS/C0036572	MSH/D012640
UMLS/C0041466	MSH/D014435
UMLS/C0023470	MSH/D007951
UMLS/C0014175	MSH/D004715
UMLS/C0020458	MSH/D006945
UMLS/C0334634	MSH/D020522
UMLS/C0041755	MSH/D064420
UMLS/C0009813	MSH/D003250
UMLS/C0343386	MSH/D003015
UMLS/C0008370	MSH/D002779
UMLS/C0121772	MSH/D019741
UMLS/C0019360	MSH/D006562
UMLS/C0038410	MSH/D013296
UMLS/C0035460	MSH/D012223
UMLS/C0349231	MSH/D010698
UMLS/C0206708	MSH/D018290
UMLS/C0003469	MSH/D001008
UMLS/C0010346	MSH/D003424
UMLS/C0023448	MSH/D007945
UMLS/C0026946	MSH/D009181
UMLS/C0007787	MSH/D002546
UMLS/C1704272	MSH/D011470
UMLS/C0029347	MSH/D009980
UMLS/C0494475	MSH/D012640
UMLS/C0020179	MSH/D006816
UMLS/C0010200	MSH/D003371
UMLS/C0206754	MSH/D018358
UMLS/C0919267	MSH/D010051
UMLS/C0006267	MSH/D001987
UMLS/C0017178	MSH/D005767
UMLS/C0018081	MSH/D006069
UMLS/C0026896	MSH/D009157
UMLS/C0042769	MSH/D014777
UMLS/C0018133	MSH/D006086
UMLS/C0011581	MSH/D003866
UMLS/C0032797	MSH/D006473
UMLS/C3263723	MSH/D014947
UMLS/C0578870	MSH/D000080223
UMLS/C0037274	MSH/D012871
UMLS/C0012546	MSH/D004165
UMLS/C0030193	MSH/D010146
UMLS/C0007134	MSH/D002292
UMLS/C0011881	MSH/D003928
UMLS/C0035235	MSH/D018357
UMLS/C1261473	MSH/D012509
UMLS/C0022876	MSH/D007752
UMLS/C1536085	MSH/D057092
UMLS/C0032768	MSH/D051474
UMLS/C0025202	MSH/D008545
UMLS/C0027627	MSH/D009362
UMLS/C0026780	MSH/D009107
UMLS/C0024305	MSH/D008228
UMLS/C0238111	MSH/D065768
UMLS/C0013595	MSH/D004485
UMLS/C0034063	MSH/D011654
UMLS/C0003873	MSH/D001172
UMLS/C0032285	MSH/D011014
UMLS/C0033578	MSH/D011471
UMLS/C0034065	MSH/D011655
UMLS/C0009766	MSH/D003233
UMLS/C0042963	MSH/D014839
UMLS/C0242339	MSH/D050171
UMLS/C0018802	MSH/D006333
UMLS/C0041582	MSH/D014456
UMLS/C0025007	MSH/D008457
UMLS/C0024301	MSH/D008224
UMLS/C0206686	MSH/D018268
UMLS/C0038160	MSH/D013203
UMLS/C0038436	MSH/D013313
UMLS/C0948089	MSH/D054058
UMLS/C0030319	MSH/D016584
UMLS/C0019693	MSH/D015658
UMLS/C0021390	MSH/D015212
UMLS/C0007131	MSH/D002289
UMLS/C0028754	MSH/D009765
UMLS/C0006142	MSH/D001943
UMLS/C0268849	MSH/D053201
UMLS/C0040558	MSH/D014123
UMLS/C0035222	MSH/D012128
UMLS/C0029453	MSH/D001851
UMLS/C0004364	MSH/D001327
UMLS/C0024117	MSH/D029424
UMLS/C0029408	MSH/D010003
UMLS/C0041296	MSH/D014376
UMLS/C0017612	MSH/D005902
UMLS/C3539878	MSH/D064726
UMLS/C0006266	MSH/D001986
UMLS/C0497327	MSH/D003704
UMLS/C0016053	MSH/D005356
UMLS/C0149721	MSH/D017379
UMLS/C0042075	MSH/D014570
