MSH	may_be_treated_by
D029424	
D000163	
D014917	Bordetella pertussis filamentous hemagglutinin vaccine, inactivated|Bordetella pertussis toxoid vaccine, inactivated|pertussis vaccine|Bordetella pertussis fimbriae 2/3 vaccine, inactivated|Bordetella pertussis pertactin vaccine, inactivated|acellular pertussis vaccine, inactivated
D000152	
D054058	nicorandil
D015470	
D018268	
D009369	
D003233	pemirolast|pemirolast potassium
D000505	
D000544	tocopheryl acid succinate,D-alpha|alpha-tocopherol acetate|alpha-tocopherol succinate, D-|dl-alpha tocopheryl acetate|vitamin E d-alpha|vitamin E|alpha-tocopherol calcium succinate, DL-|alpha-tocopherol succinate, DL-|vitamin E acetate|tocopherol,DL-alpha|alpha-tocopherol linoleate, D-|vitamin E DL-alpha|tocopherol acetate|alpha-tocopherol succinate|alpha tocopherol|d-alpha-tocopheryl acetate
D000686	
D000740	
D013167	
D001008	
D001145	procainamide|ibutilide|disopyramide|quinidine sulfate|omega-3 fatty acids|lidocaine hydrochloride|sotalol|ibutilide fumarate|moricizine|moricizine hydrochloride|procainamide hydrochloride|lidocaine|quinidine polygalacturonate|sotalol hydrochloride|propafenone|propafenone hydrochloride|flecainide acetate|disopyramide phosphate|mexiletine hydrochloride|flecainide|mexiletine|quinidine gluconate|tocainide|dronedarone|amiodarone|tocainide monohydrochloride|Antiarrhythmic|dofetilide|fish oils|quinidine|amiodarone hydrochloride
D001249	budesonide (11.beta.,16.alpha.(S))|fenoterol hydrobromide|flunisolide anhydrous|beclomethasone dipropionate|fenoterol|flunisolide|dexamethasone isonicotinate|beclomethasone|dexamethasone|triamcinolone acetonide|dexamethasone sodium phosphate|bitolterol|triamcinolone|dexamethasone phosphate|fluticasone propionate|fluticasone furoate|triamcinolone diacetate|dexamethasone acetate|beclomethasone dipropionate monohydrate|zileuton|zafirlukast|triamcinolone hexacetonide|bitolterol mesylate|beclomethasone 17-monopropionate|nedocromil|nedocromil sodium|budesonide|fluticasone|dexamethasone trimethyl acetate|dexamethasone acetate anhydrous|flunisolide hemihydrate
D012220	
D050197	inclisiran sodium|inclisiran|evolocumab|alirocumab
D001284	
D001289	
D001327	
D001714	
D010146	propofol lipid emulsion|chondroitin sulfate, porcine|alphaprodine hydrochloride|butacaine|propofol|mefenamic acid|alpha,alpha-dibromo-d-camphor|carboxymethylcellulose sodium (0.9 carboxymethyl substitution per saccharide; 130 MPA.S at 4%)|benzocaine|pentazocine|alphaprodine|bupivacaine|chloroprocaine|procaine hydrochloride|dyclonine hydrochloride|pentazocine lactate|naproxen|chondroitin sulfate sodium (porcine)|naproxen sodium|ibuprofen lysine|chondroitin sulfate (shark)|chondroitin sulfate, bovine|articaine hydrochloride|lidocaine hydrochloride anhydrous|ketorolac tromethamine|ibuprofen, sodium salt|levobupivacaine|chondroitin sulfate sodium|chondroitin sulfates|benoxinate|levomethadyl|bupivacaine hydrochloride anhydrous|etomidate|alfentanil hydrochloride|mepivacaine|ketorolac|pentazocine hydrochloride|ethoheptazine|dibucaine|ethoheptazine citrate|chondroitin sulfate sodium (shark)|ropivacaine hydrochloride monohydrate|ibuprofen|capsaicin|alfentanil|bupivacaine hydrochloride|desflurane|articaine|dyclonine|sevoflurane|ethyl ether|benoxinate hydrochloride|acetaminophen|mepivacaine hydrochloride|Capsicum oleoresin|chloroprocaine hydrochloride|trolamine salicylate|levomethadyl acetate hydrochloride|lidocaine hydrochloride|ropivacaine hydrochloride|camphor|ketamine hydrochloride|benzocaine hydrochloride|phenyl salicylate|aspirin|ropivacaine|lidocaine|dibucaine hydrochloride|camphor (natural)|chondroitin sulfate A sodium|Capsicum extract|tetracaine|camphor oil|tetracaine hydrochloride|chondroitin sulfate sodium (bovine)|levobupivacaine hydrochloride|ketamine|acetylsalicylate sodium|procaine|droperidol|ropivacaine hydrochloride anhydrous
D001987	
D001991	
D001986	albuterol sulfate|aminophylline hydrate|pirbuterol acetate|bambuterol hydrochloride|aminophylline|levalbuterol tartrate|bambuterol|salmeterol|bitolterol|salmeterol xinafoate|pirbuterol HCl|formoterol fumarate|albuterol|levalbuterol hydrochloride|formoterol fumarate dihydrate|pirbuterol|bitolterol mesylate|aminophylline dihydrate|formoterol|levalbuterol
D002100	
D002276	
D002277	
D015451	
D002318	empagliflozin
D020521	ticlopidine hydrochloride|cangrelor tetrasodium|ticagrelor|rivaroxaban|ticlopidine|vorapaxar|dabigatran etexilate mesylate|warfarin sodium|edoxaban|apixaban|dabigatran etexilate|tirofiban|vorapaxar sulfate|cangrelor|tirofiban hydrochloride|edoxaban tosylate|warfarin|warfarin potassium
D018290	
D002779	
D003248	fiber|di-n-octyl sodium sulfosuccinate|psyllium seed coatings,blond|docusate potassium|docusate sodium|glucomannan|docusate calcium|psyllium|methylcellulose|methylcellulose (4000 CPS)|casanthranol|psyllium hydrocolloid|calcium polycarbophil|methylcellulose (100 CPS)|docusate|malt soup extract
D000080223	
D007945	
D007951	
D011565	
D003015	bezlotoxumab
D003072	
D003092	
D014456	amlexanox
D015179	
D003324	gemfibrozil|rosuvastatin calcium|simvastatin|lovastatin|pravastatin|colestipol|dextrothyroxine sodium|pitavastatin magnesium|zinc nicotinate|cerivastatin|cerivastatin sodium|nicotinamide hydriodide|nicotinic acid propyl ester|atorvastatin|nicotinic acid benzyl ester|probucol|atorvastatin calcium propylene glycol solvate|pitavastatin|clofibrate|fluvastatin|fenofibrate micronized|colesevelam|atorvastatin calcium|fenofibrate|atorvastatin calcium anhydrous|niacinamide|dextrothyroxine|colesevelam hydrochloride|atorvastatin calcium trihydrate|pitavastatin calcium|pravastatin sodium|rosuvastatin|niacin|fluvastatin sodium|pitavastatin sodium|fenofibric acid|colestipol hydrochloride|cholestyramine resin
D006086	basiliximab|thalidomide|everolimus|cyclosporine, modified|methylprednisolone|methylprednisolone aceponate|methylprednisolone sodium succinate|tacrolimus monohydrate|azathioprine sodium|mycophenolate mofetil hydrochloride|methylprednisolone sodium phosphate|methylprednisolone acetate|belatacept|daclizumab|mycophenolate mofetil|azathioprine|cyclosporine microemulsion|sirolimus|anhydrous tacrolimus|tacrolimus|mycophenolic acid|cyclosporine
D003371	dextromethorphan tannate|dextromethorphan polistirex|dextromethorphan|carbetapentane citrate|dextromethorphan hydroiodide|dextromethorphan hydrochloride|benzonatate|caramiphen edisylate|caramiphen|dextromethorphan hydrobromide|carbetapentane|carbetapentane tannate
D003424	
D003550	
D003704	lecanemab|lecanemab-irmb
D003807	
D003781	
D003866	
D003872	lactic acid|cocoa butter|glycerin|colloidal oatmeal
D012628	
D012871	povidone-iodine|propolis|dexpanthenol
D003920	
D003922	
D003924	
D003928	enalapril maleate|benazepril hydrochloride|quinapril hydrochloride|perindopril erbumine|perindopril arginine|enalaprilat anhydrous|moexipril hydrochloride|benazepril|enalaprilat|ramipril|lisinopril|perindopril|lisinopril anhydrous|fosinopril sodium|moexipril|benazeprilat|captopril|fosinopril|trandolapril|quinapril|enalapril
D003929	
D004165	diphtheria toxoid vaccine, inactivated|diphtheria toxoid adsorbed|diptheria toxoid absorbed
D064420	leucovorin|digoxin antibodies Fab fragments|mesna|gold sodium thiosulfate|dexrazoxane hydrochloride|sodium thiosulfate|ovine digoxin immune fab|flumazenil|pralidoxime chloride|pralidoxime iodide|sodium bicarbonate|amifostine|pyridoxal phosphate|pralidoxime cation|fomepizole|leucovorin calcium|pralidoxime mesylate|pyridoxine hydrochloride|pyridoxine|ubidecarenone|dexrazoxane|activated charcoal|pralidoxime|amifostine anhydrous|sodium thiosulfate anhydrous|mannitol hexanitrate|charcoal
D004403	
D050171	
D004485	
D004617	
D000402	
D004715	
D004827	
D004830	
D008881	eptinezumab-jjmr|divalproex sodium|fremanezumab|propranolol hydrochloride|valproic acid|dihydroergocryptine|erenumab-aooe|fremanezumab-vfrm|galcanezumab-gnlm|eptinezumab|sodium valproate|erenumab|propranolol|dihydroergocryptine mesylate|galcanezumab|flunarizine hydrochloride|topiramate|flunarizine
D005211	
D005356	
D005490	
D050723	
D005770	
D005767	
D018589	
D006069	
D019741	Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine|Haemophilus influenzae type b strain 1482, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine|Haemophilus influenzae type b strain 20752, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine
D006333	digitoxin|vericiguat|deslanoside|reteplase|digoxin|Digitalis preparation|sotagliflozin|sacubitril
D006506	intramuscular immunoglobulin|hepatitis A virus|hepatitis A vaccine (inactivated) strain HM175|hepatitis A virus strain CR 326F antigen, inactivated
D006509	tenofovir disoproxil fumarate|hepatitis B surface antigen vaccine|entecavir|hepatitis B surface antigen (isoform S), recombinant|hepatitis B virus subtype ADW2 HBsAg surface protein antigen|hepatitis B virus|adefovir|hepatitis B immune globulin|hepatitis B surface antigen (isoform L), recombinant|Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor|hepatitis B surface antigen (isoform M), recombinant|tenofovir|adefovir dipivoxil|lamivudine|intramuscular immunoglobulin|telbivudine|tenofovir alafenamide fumarate
D006526	boceprevir|paritaprevir|Hepatitis C Virus NS3/4A Protease Inhibitor|dasabuvir|Hepatitis C Virus Nucleotide Analog NS5B Polymerase Inhibitor|daclatasvir|glecaprevir|pibrentasvir|ledipasvir|telaprevir|velpatasvir|Hepatitis C Virus NS5A Inhibitor|voxilaprevir|sofosbuvir|Hepatitis C Virus Non-Nucleoside NS5B Palm Polymerase Inhibitor|ombitasvir|simeprevir|elbasvir|grazoprevir
D006528	
D001943	
D009362	
D005334	acetaminophen
D006558	famciclovir
D006560	
D006561	valacyclovir hydrochloride|famciclovir|Herpes Simplex Virus Pyrophosphate Analog DNA Polymerase Inhibitor|acyclovir sodium|Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor|acyclovir|valacyclovir
D006562	valacyclovir hydrochloride|famciclovir|acyclovir sodium|varicella zoster virus glycoprotein E, recombinant|varicella-zoster virus vaccine live (Oka-Merck) strain|acyclovir|valacyclovir|varicella zoster virus glycoprotein E|Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor
D015658	delavirdine mesylate|abacavir sulfate|Human Immunodeficiency Virus 1 Non-Nucleoside Analog Reverse Transcriptase Inhibitor|elvitegravir|tenofovir disoproxil fumarate|didanosine|emtricitabine|nevirapine hemihydrate|tenofovir|ibalizumab-uiyk|ibalizumab|efavirenz|dolutegravir|nevirapine|bictegravir sodium|rilpivirine|abacavir|Human Immunodeficiency Virus 1 Fusion Inhibitor|Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor|enfuvirtide|Human Immunodeficiency Virus 1 Non-Nucleoside and Nucleoside Analog Reverse Transcriptase Inhibitor|etravirine|bictegravir|tenofovir alafenamide fumarate|raltegravir|rilpivirine hydrochloride|delavirdine|zidovudine|Human Immunodeficiency Virus Integrase Strand Transfer Inhibitor|Human Immunodeficiency Virus Protease Inhibitor|stavudine|lamivudine
D006816	
D006937	evinacumab-dgnb|evinacumab
D017681	
D006945	aluminum chlorohydrate
D006973	
D015228	
D006984	
D007006	
D054990	
D016553	
D007169	
D003141	Antiseptic|hexachlorophene|povidone-iodine
D006678	
D001419	
D012136	
D015212	
D007251	rimantadine|oseltamivir|amantadine sulfate|oseltamivir phosphate|amantadine|rimantadine hydrochloride|Influenza Neuraminidase Inhibitor|zanamivir|amantadine hydrochloride
D009980	influenza A virus A/Victoria/361/2011 (H3N2) antigen|influenza A virus A/Victoria/4897/2022 (H1N1) antigen|influenza A virus A/Singapore/6/1986 (H1N1) antigen|influenza A virus A/West Virginia/30/2022 (H1N1) antigen|influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen|influenza A virus A/Hawaii/66/2019 (H1N1) antigen|influenza A virus (H1N1) antigen|influenza A virus A/Singapore/INFIMH-16-0019/2016 (H3N2) antigen|influenza A virus A/Norway/16606/2021 (H3N2) antigen|influenza A virus A/South Australia/55/2014 (H3N2) antigen|influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen|influenza virus vaccine, live attenuated, A-Perth-16-2009 (H3N2) strain|influenza A virus A/Singapore/GP2050/2015 (H3N2) antigen|influenza A virus A/Nebraska/14/2019 (H1N1) antigen|influenza A virus A/Texas/50/2012 (H3N2) antigen|influenza A virus A/Indiana/08/2018 (H3N2) antigen|influenza A virus A/Darwin/11/2021 (H3N2) antigen|influenza A virus A/Delaware/39/2019 (H3N2) antigen|influenza A virus A/New Caledonia/71/2014 (H3N2) antigen|influenza A virus A/Michigan/45/2015 (H1N1) antigen|influenza A virus vaccine, A-Texas-50-2012 X-223A (H3N2), inactivated|influenza A virus A/Victoria/2570/2019 (H1N1) antigen|influenza A virus A/Hawaii/70/2019 (H1N1) antigen|influenza A virus A/Washington/19/2020 (H1N1) antigen|influenza A virus A/Bolivia/559/2013 (H1N1) antigen|influenza A virus A/Cambodia/e0826360/2020 (H3N2) antigen|influenza virus vaccine, inactivated A-Victoria-210-2009 X-187 (H3N2) (A-Perth-16-2009) strain|influenza A virus A/Darwin/6/2021 (H3N2) antigen|influenza A virus A/Hong Kong/2671/2019 (H3N2) antigen|influenza A virus A/California/7/2009 (H1N1) antigen|influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen|influenza A virus A/Darwin/9/2021 (H3N2) antigen|influenza A virus A/Delaware/55/2019 (H1N1) antigen|influenza A virus A/Brisbane/02/2018 (H1N1) antigen|influenza A virus A/Beijing/32/1992 (H3N2) antigen|influenza A virus A/Guangdong-Maonan/SWL1536/2019 (H1N1) antigen|influenza A virus A/Sydney/5/2021 (H1N1) antigen|influenza A virus A/Idaho/07/2018 (H1N1) antigen|influenza A virus A/New Caledonia/20/1999 (H1N1) antigen|influenza A virus A/Minnesota/41/2019 (H3N2) antigen|influenza A virus A/Tasmania/503/2020 (H3N2) antigen|influenza A virus A/North Carolina/04/2016 (H3N2) antigen|influenza A virus A/Victoria/2454/2019 (H1N1) antigen|influenza A-California-7-2009-(H1N1)v-like virus vaccine|influenza A virus A/Kansas/14/2017 (H3N2) antigen|influenza A virus A/Brisbane/10/2010 (H1N1) antigen|influenza A virus A/Christchurch/16/2010 (H1N1) antigen|influenza A virus A/South Australia/34/2019 (H3N2) antigen|influenza A virus A/Wisconsin/588/2019 (H1N1) antigen|influenza A virus A/Slovenia/2903/2015 (H1N1) antigen|influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus|influenza A virus A/Victoria/1/2020 (H1N1) antigen|influenza A virus (H3N2) antigen|influenza A virus A/Georgia/12/2022 (H1N1) antigen|influenza A virus vaccine, A-Texas-50-2012 (H3N2)-like virus
D020953	
D009091	
D058365	
D000072742	domperidone|domperidone maleate
D043183	
D002546	aspirin|warfarin sodium|acetylsalicylate sodium|warfarin|warfarin potassium
D015535	
D065768	
D007938	
D011470	
D014947	
D012128	
D009393	
D008223	
D020522	
D008228	
D008288	mefloquine|doxycycline hydrochloride|tafenoquine succinate|atovaquone|chloroquine phosphate|mefloquine hydrochloride|chloroquine|dapsone|proguanil|halofantrine hydrochloride|doxycycline monohydrate|primaquine phosphate|sulfadoxine|Dihydrofolate Reductase Inhibitor Antimalarial|pyrimethamine|hydroxychloroquine sulfate|doxycycline hyclate|lumefantrine|tafenoquine|chloroquine hydrochloride|artemether|chloroquine sulfate|halofantrine|hydroxychloroquine|primaquine|doxycycline anhydrous|doxycycline calcium|quinine|doxycycline|quinine sulfate|Antimalarial
D008415	
D008457	measles virus preparation|intramuscular immunoglobulin|measles virus vaccine live, Enders' attenuated Edmonston strain
D009107	mumps virus vaccine live, Jeryl Lynn strain|mumps virus
D012409	rubella virus|intramuscular immunoglobulin|rubella virus vaccine live (Wistar RA 27-3 strain)
D008581	
D008589	meningococcal group C polysaccharide|meningococcal group A polysaccharide|meningococcal polysaccharide vaccine group W-135|meningococcal polysaccharide vaccine group Y
D001523	
D024821	
D011293	
D065631	
D019964	
D009101	
D009103	
D009157	
D009181	Echinocandin Antifungal|butenafine hydrochloride|Allylamine Antifungal|bifonazole|isoconazole|terconazole|luliconazole|clotrimazole|butoconazole nitrate|Azole Antifungal|Polyene Antifungal|tavaborole|micafungin|Benzylamine Antifungal|econazole|sulfisoxazole diolamine|sulfisoxazole|anidulafungin|sulfamethoxazole|posaconazole|voriconazole|naftifine|isavuconazole|oxiconazole|levoketoconazole|terbinafine hydrochloride|fenbendazole|isoconazole nitrate|econazole nitrate|terbinafine|miconazole nitrate|efinaconazole|acetyl sulfisoxazole|amphotericin B colloidal dispersion|itraconazole|Oxaborole Antifungal|caspofungin acetate|butoconazole|amphotericin B liposomal|tioconazole|Sulfonamide Antimicrobial|flucytosine|naftifine hydrochloride|sulconazole|Lipid-based Polyene Antifungal|amphotericin B|fluconazole|sertaconazole|caspofungin|Nucleoside Analog Antifungal|butenafine|sulconazole nitrate|nystatin|miconazole|ketoconazole
D009190	
D055728	
