MSH	name
MSH/D000152	Acne Vulgaris
MSH/D008180	Lupus Erythematosus, Systemic
MSH/D011565	Psoriasis
MSH/D006973	Hypertensive disease
MSH/D009325	Nausea
MSH/D014839	Vomiting
MSH/D003872	Dermatitis
MSH/D012220	Rhinitis
MSH/D001249	Asthma
MSH/D054058	Acute Coronary Syndrome
MSH/D004617	Embolism
MSH/D000402	Airway Obstruction
MSH/D013927	Thrombosis
MSH/D019964	Mood Disorders
MSH/D004827	Aura
MSH/D001714	Bipolar Disorder
MSH/D015228	Hypertriglyceridemia
MSH/D003922	Diabetes Mellitus, Insulin-Dependent
MSH/D003866	Depressive disorder
MSH/D003141	Communicable Diseases
MSH/D001419	Bacteria
MSH/D050197	Atherosclerosis
MSH/D050723	Fracture
MSH/D010024	Osteoporosis
MSH/D010300	Parkinson Disease
MSH/D012148	Restless Legs Syndrome
MSH/D000544	Alzheimer's Disease
MSH/D003924	Diabetes Mellitus, Non-Insulin-Dependent
MSH/D008881	Migraine Disorders
MSH/D012893	Sleep Disorders
MSH/D014917	Pertussis
MSH/D004165	Diphtheria
MSH/D006509	Hepatitis B
MSH/D011051	Poliomyelitis
MSH/D013742	Tetanus
MSH/D019741	Haemophilus influenzae type b
MSH/D009345	Neisseria meningitidis
MSH/D008457	Measles
MSH/D009107	Mumps
MSH/D012409	Rubella
MSH/D002644	Chickenpox
MSH/D007251	Influenza
MSH/D012640	Seizures, Focal
MSH/D009437	Neuralgia
MSH/D051474	Postherpetic neuralgia
MSH/D008288	Malaria
MSH/D001523	Mental disorders
MSH/D006333	Heart failure
MSH/D009369	Malignant Neoplasms
MSH/D011470	Benign Prostatic Hyperplasia
MSH/D001986	Bronchospasm
MSH/D009103	Multiple Sclerosis
MSH/D003929	Diabetic Neuralgia
MSH/D001172	Rheumatoid Arthritis
MSH/D006678	HIV
MSH/D006506	Hepatitis A
MSH/D010033	Otitis Media
MSH/D011014	Pneumonia
MSH/D017714	Community-Acquired Infections
MSH/D013296	Streptococcus pneumoniae
MSH/D001991	Bronchitis
MSH/D012852	Sinusitis
MSH/D013923	Thromboembolism
MSH/D004830	Tonic-Clonic Epilepsy
MSH/D012559	Schizophrenia
MSH/D000568	Amenorrhea
MSH/D005356	Fibromyalgia
MSH/D006558	Genital Herpes
MSH/D006561	Herpes Simplex Infections
MSH/D006560	Herpes Labialis
MSH/D001008	Anxiety Disorders
MSH/D000080223	Chronic Spontaneous Urticaria
MSH/D014012	Tinnitus
MSH/D010698	Phobic anxiety disorder
MSH/D009771	Obsessive-Compulsive Disorder
MSH/D016584	Panic Disorder
MSH/D013313	Post-Traumatic Stress Disorder
MSH/D011293	Premenstrual syndrome
MSH/D009980	influenza A virus
MSH/D000072742	Invasive Fungal Infections
MSH/D002277	Carcinoma
MSH/D018805	Septicemia
MSH/D001284	Atrophic
MSH/D015179	Colorectal Neoplasms
MSH/D006984	Hypertrophy
MSH/D003930	Diabetic Retinopathy
MSH/D007006	Hypogonadism
