UMLS	name	HPO	MSH
UMLS/C0001144	Acne Vulgaris		MSH/D000152
UMLS/C0024141	Lupus Erythematosus, Systemic	HPO/HP:0002725	MSH/D008180
UMLS/C0033860	Psoriasis	HPO/HP:0003765	MSH/D011565
UMLS/C0020538	Hypertensive disease	HPO/HP:0000822	MSH/D006973
UMLS/C0027497	Nausea	HPO/HP:0002018	MSH/D009325
UMLS/C0042963	Vomiting	HPO/HP:0002013	MSH/D014839
UMLS/C0011603	Dermatitis	HPO/HP:0011123	MSH/D003872
UMLS/C0035455	Rhinitis	HPO/HP:0012384	MSH/D012220
UMLS/C0004096	Asthma	HPO/HP:0002099	MSH/D001249
UMLS/C0948089	Acute Coronary Syndrome	HPO/HP:0033678	MSH/D054058
UMLS/C0013922	Embolism		MSH/D004617
UMLS/C0040053	Thrombosis		MSH/D013927
UMLS/C0525045	Mood Disorders		MSH/D019964
UMLS/C0014544	Epilepsy	HPO/HP:0001250	MSH/D004827
UMLS/C0005586	Bipolar Disorder	HPO/HP:0007302	MSH/D001714
UMLS/C0020557	Hypertriglyceridemia		MSH/D015228
UMLS/C0011854	Diabetes Mellitus, Insulin-Dependent	HPO/HP:0100651	MSH/D003922
UMLS/C0011581	Depressive disorder	HPO/HP:0000716	MSH/D003866
UMLS/C0009450	Communicable Diseases		MSH/D003141
UMLS/C0004611	Bacteria		MSH/D001419
UMLS/C0004153	Atherosclerosis	HPO/HP:0002621|HPO/HP:0002635	MSH/D050197
UMLS/C0016658	Fracture	HPO/HP:0020110	MSH/D050723
UMLS/C0029456	Osteoporosis	HPO/HP:0000939	MSH/D010024
UMLS/C0030567	Parkinson Disease		MSH/D010300
UMLS/C0035258	Restless Legs Syndrome	HPO/HP:0012452	MSH/D012148
UMLS/C0002395	Alzheimer's Disease	HPO/HP:0002511	MSH/D000544
UMLS/C0011860	Diabetes Mellitus, Non-Insulin-Dependent	HPO/HP:0005978	MSH/D003924
UMLS/C0149931	Migraine Disorders	HPO/HP:0002076	MSH/D008881
UMLS/C0012634	Disease		MSH/D004194
UMLS/C0851578	Sleep Disorders		MSH/D012893
UMLS/C0030358	Papillomavirus		
UMLS/C0043167	Pertussis		MSH/D014917
UMLS/C0012546	Diphtheria		MSH/D004165
UMLS/C0019163	Hepatitis B		MSH/D006509
UMLS/C0032371	Poliomyelitis		MSH/D011051
UMLS/C0039614	Tetanus		MSH/D013742
UMLS/C0121772	Haemophilus influenzae type b		MSH/D019741
UMLS/C0027575	Neisseria meningitidis		MSH/D009345
UMLS/C0025007	Measles		MSH/D008457
UMLS/C0026780	Mumps		MSH/D009107
UMLS/C0035920	Rubella		MSH/D012409
UMLS/C0008049	Chickenpox		MSH/D002644
UMLS/C0021400	Influenza		MSH/D007251
UMLS/C0036572	Seizures	HPO/HP:0001250	MSH/D012640
UMLS/C0027796	Neuralgia	HPO/HP:0033345	MSH/D009437
UMLS/C0032768	Postherpetic neuralgia		MSH/D051474
UMLS/C0024530	Malaria		MSH/D008288
UMLS/C0004936	Mental disorders		MSH/D001523
UMLS/C0018801	Heart failure	HPO/HP:0001635	MSH/D006333
UMLS/C0700148	Congestion		
UMLS/C0027651	Neoplasms	HPO/HP:0002664	MSH/D009369
UMLS/C2937421	Prostatic Hyperplasia		MSH/D011470
UMLS/C0006266	Bronchospasm	HPO/HP:0025428	MSH/D001986
