from	to
UMLS/C5392405	MSH/C000706131
UMLS/C5226839	MSH/C000656065
UMLS/C3530051	MSH/C576936
UMLS/C5392621	MSH/C000708951
UMLS/C5392742	MSH/C000708087
UMLS/C3180886	MSH/C557781
UMLS/C3713989	MSH/C584201
UMLS/C5198358	MSH/C000633847
UMLS/C4505911	MSH/C000615596
UMLS/C3659427	MSH/C581038
UMLS/C4053679	MSH/C000615784
UMLS/C3177194	MSH/C558852
UMLS/C3827120	MSH/C000602008
UMLS/C3852548	MSH/C587791
UMLS/C3253174	MSH/C568078
UMLS/C5565453	MSH/C000719547
UMLS/C5392354	MSH/C000705473
UMLS/C3253188	MSH/C562323
UMLS/C5196682	MSH/C000629862
UMLS/C5772748	MSH/C000723722
UMLS/C4287760	MSH/C000712933
UMLS/C4742765	MSH/C000628578
UMLS/C2347443	MSH/C528328
UMLS/C5565723	MSH/C000719587
UMLS/C4549166	MSH/C000625977
UMLS/C4079824	MSH/C000604998
UMLS/C3849072	MSH/C588298
UMLS/C3658590	MSH/C582664
UMLS/C4727783	MSH/C000709571
UMLS/C3886165	MSH/C000594007
UMLS/C2002402	MSH/D000077185
UMLS/C3177195	MSH/C558853
UMLS/C2703095	MSH/C560077
UMLS/C4045451	MSH/C000594852
UMLS/C3711860	MSH/C583947
UMLS/C2981865	MSH/C000600809
UMLS/C3712181	MSH/C584220
UMLS/C3884469	MSH/C540176
UMLS/C3253012	MSH/C568644
UMLS/C5198241	MSH/C000632156
UMLS/C5433906	MSH/C000709851
UMLS/C4278474	MSH/C000608195
UMLS/C2934026	MSH/C549469
UMLS/C4079835	MSH/C000604188
UMLS/C2347618	MSH/C561573
UMLS/C0914699	MSH/C409004
UMLS/C5227418	MSH/C000654586
UMLS/C5392505	MSH/C000707549
UMLS/C4079591	MSH/C000603511
UMLS/C3886130	MSH/C000593393
UMLS/C4279387	MSH/C000605830
UMLS/C4705543	MSH/C000626978
UMLS/C3179804	MSH/C556153
UMLS/C5196507	MSH/C000629546
UMLS/C3886520	MSH/C000590928
UMLS/C3660728	MSH/C577920
UMLS/C5565730	MSH/C000718753
UMLS/C3713902	MSH/C557997
UMLS/C5442040	MSH/C559041
UMLS/C3253619	MSH/C561922
UMLS/C4045304	MSH/C000595241
UMLS/C3827121	MSH/C000622373
UMLS/C4742753	MSH/C000628558
UMLS/C1744311	MSH/C512301
UMLS/C4548814	MSH/C000626035
UMLS/C3851694	MSH/C000590132
UMLS/C4705766	MSH/C000627232
UMLS/C2742038	MSH/C545367
UMLS/C5198173	MSH/C000631066
UMLS/C3852542	MSH/C587902
UMLS/C4079641	MSH/C000602898
UMLS/C3827123	MSH/C000627739
UMLS/C4078791	MSH/C000603799
UMLS/C3714228	MSH/C584556
