from	to
HP:0033678	HP:0011025
HP:0011025	HP:0001626
HP:0001626	HP:0000118
HP:0000118	HP:0000001
HP:0003765	HP:0011123
HP:0011123	HP:0012649
HP:0011123	HP:0011122
HP:0012649	HP:0012647
HP:0011122	HP:0000951
HP:0012647	HP:0010978
HP:0000951	HP:0001574
HP:0010978	HP:0002715
HP:0001574	HP:0000118
HP:0002715	HP:0000118
HP:0000822	HP:0032263
HP:0032263	HP:0030972
HP:0030972	HP:0011025
HP:0002013	HP:0002017
HP:0002017	HP:0011458
HP:0011458	HP:0025032
HP:0025032	HP:0025031
HP:0025031	HP:0011793
HP:0011793	HP:0002664
HP:0002664	HP:0000118
HP:0002018	HP:0002017
HP:0012384	HP:0000366
HP:0000366	HP:0000271
HP:0000271	HP:0000234
HP:0000234	HP:0000152
HP:0000152	HP:0000118
HP:0002099	HP:0002795
HP:0002099	HP:0100326
HP:0002795	HP:0002086
HP:0100326	HP:0010978
HP:0002086	HP:0000118
HP:0004808	HP:0002488
HP:0002488	HP:0001909
HP:0001909	HP:0004377
HP:0001909	HP:0001881
HP:0004377	HP:0001871
HP:0004377	HP:0011793
HP:0001881	HP:0001871
HP:0001881	HP:0010987
HP:0001871	HP:0000118
HP:0010987	HP:0032251
HP:0032251	HP:0002715
HP:0006536	HP:0002795
HP:0006775	HP:0004377
HP:0001250	HP:0012638
HP:0012638	HP:0000707
HP:0000707	HP:0000118
HP:0005978	HP:0000819
HP:0000819	HP:0001952
HP:0000819	HP:0000818
HP:0001952	HP:0011014
HP:0000818	HP:0000118
HP:0011014	HP:0012337
HP:0012337	HP:0001939
HP:0001939	HP:0000118
HP:0000716	HP:0031466
HP:0031466	HP:0000708
HP:0000708	HP:0011446
HP:0011446	HP:0012638
HP:0007378	HP:0034930
HP:0007378	HP:0011024
HP:0034930	HP:0025031
HP:0011024	HP:0025031
HP:0000939	HP:0004349
HP:0004349	HP:0004348
HP:0004348	HP:0011849
HP:0011849	HP:0003330
HP:0003330	HP:0011842
HP:0011842	HP:0000924
HP:0000924	HP:0033127
HP:0033127	HP:0000118
HP:0000479	HP:0001098
HP:0001098	HP:0004329
HP:0004329	HP:0012372
HP:0012372	HP:0000478
HP:0000478	HP:0000118
HP:0000488	HP:0000479
HP:0011034	HP:0001939
HP:0002076	HP:0002315
HP:0002315	HP:0012638
HP:0007269	HP:0003202
HP:0003202	HP:0030236
HP:0030236	HP:0011805
HP:0011805	HP:0003011
HP:0003011	HP:0033127
HP:0002037	HP:0004386
HP:0002037	HP:0002250
HP:0004386	HP:0012719
HP:0004386	HP:0012649
HP:0002250	HP:0002242
HP:0012719	HP:0025032
HP:0012719	HP:0011024
HP:0002242	HP:0012718
HP:0012718	HP:0025033
HP:0012718	HP:0011024
HP:0025033	HP:0025031
HP:0020172	HP:0020169
HP:0020169	HP:0001939
HP:0001635	HP:0011025
HP:0100242	HP:0011792
HP:0011792	HP:0002664
HP:0100806	HP:0010978
HP:0100634	HP:0100568
HP:0100634	HP:0100007
HP:0100568	HP:0011793
HP:0100568	HP:0000818
HP:0100007	HP:0004375
HP:0100007	HP:0000759
HP:0004375	HP:0012639
HP:0004375	HP:0011793
HP:0000759	HP:0012639
HP:0012639	HP:0000707
HP:0004326	HP:0001824
HP:0001824	HP:0004325
HP:0004325	HP:0004323
HP:0004323	HP:0001507
HP:0001507	HP:0000118
HP:0100615	HP:0010785
HP:0100615	HP:0000137
HP:0010785	HP:0010787
