from	to
UMLS/C0593953	MSH/C433226
UMLS/C0061323	MSH/C057619
UMLS/C0068722	MSH/D061485
UMLS/C0305062	MSH/D013745
UMLS/C3496793	MSH/C540278
UMLS/C5140521	MSH/C000710948
UMLS/C0770688	MSH/D022301
UMLS/C0754659	MSH/D000068538
UMLS/C0379200	MSH/D000077557
UMLS/C1998098	MSH/D000077767
UMLS/C1700101	MSH/C509706
UMLS/C4055478	MSH/C585539
UMLS/C4682384	MSH/C554645
UMLS/C0032375	MSH/D011055
UMLS/C0028833	MSH/D015282
UMLS/C0305065	MSH/D022242
UMLS/C1721377	MSH/C498826
UMLS/C0281666	MSH/D000077556
UMLS/C2699069	MSH/C522194
UMLS/C0085149	MSH/D016559
UMLS/C1622832	MSH/D000068297
UMLS/C0887906	MSH/D022541
UMLS/C1567950	MSH/C499715
UMLS/C0001927	MSH/D000420
UMLS/C1869620	MSH/C515492
UMLS/C0540623	MSH/C106783
UMLS/C0700596	MSH/D016729
UMLS/C0012547	MSH/D004166
UMLS/C2983812	MSH/C520025
UMLS/C0296104	MSH/C092872
UMLS/C0117996	MSH/D000068298
UMLS/C3253985	MSH/C562325
UMLS/C4519256	MSH/C581951
UMLS/C3274566	MSH/C571185
UMLS/C0012265	MSH/D004077
UMLS/C0771469	MSH/D000068759
UMLS/C0649350	MSH/D000068836
UMLS/C0073096	MSH/D000077185
UMLS/C0966225	MSH/D000069444
UMLS/C2607479	MSH/C534611
UMLS/C4082411	MSH/D006024
UMLS/C0937916	MSH/D000069557
UMLS/C3179547	MSH/C555450
UMLS/C0068334	MSH/D000077430
UMLS/C2986924	MSH/C531958
UMLS/C0246421	MSH/D000077289
UMLS/C1619629	MSH/D000077588
UMLS/C0065374	MSH/D017706
UMLS/C2699586	MSH/C551147
UMLS/C0043474	MSH/D015215
UMLS/C2973987	MSH/C544831
UMLS/C2987649	MSH/C551528
UMLS/C0062086	MSH/C044237
UMLS/C0051696	MSH/D017311
UMLS/C1722260	MSH/C510790
UMLS/C0052432	MSH/D000077332
UMLS/C0527316	MSH/D000077265
UMLS/C2719767	MSH/D019274
UMLS/C0004057	MSH/D001241
UMLS/C2001271	MSH/D000077432
UMLS/C3661274	MSH/C573971
UMLS/C4519293	MSH/C000627869
UMLS/C0033429	MSH/D011405
UMLS/C0070122	MSH/D017374
UMLS/C0671970	MSH/D000069287
UMLS/C4309999	MSH/C000612856
UMLS/C0028040	MSH/D009538
UMLS/C4519188	MSH/C000599718
UMLS/C0216660	MSH/D053243
UMLS/C0035923	MSH/D012411
UMLS/C1872109	MSH/D000068582
UMLS/C0206515	MSH/D018074
UMLS/C0935989	MSH/D000068877
