from	to
MSH/C511911	MSH/D007166
MSH/C055085	MSH/D003879
MSH/D000077261	MSH/D058668
MSH/D000077261	MSH/D002121
MSH/D000077261	MSH/D000959
MSH/D000077261	MSH/D000975
MSH/D000077261	MSH/D014665
MSH/D000077261	MSH/D000319
MSH/D002990	MSH/D005938
MSH/D002990	MSH/D000893
MSH/D000068298	MSH/D003879
MSH/D000068298	MSH/D018926
MSH/D000068298	MSH/D001993
MSH/D000068298	MSH/D000893
MSH/D000068297	MSH/D005938
MSH/D000068297	MSH/D001993
MSH/D000068297	MSH/D013566
MSH/D000077425	MSH/D065427
MSH/D000077213	MSH/D026941
MSH/D000077213	MSH/D002121
MSH/D000077213	MSH/D000927
MSH/D000077213	MSH/D014150
MSH/D017374	MSH/D017367
MSH/D017374	MSH/D018687
MSH/D017374	MSH/D065690
MSH/C508887	MSH/D000900
MSH/C101866	MSH/D049990
MSH/C101866	MSH/D000927
MSH/C046649	MSH/D018491
MSH/C046649	MSH/D000978
MSH/D000077154	MSH/D007004
MSH/C086827	MSH/D003879
MSH/C086827	MSH/D013723
MSH/C086827	MSH/D007641
MSH/C534550	MSH/D064729
MSH/D004166	MSH/D007155
MSH/D014612	MSH/D007155
MSH/D053243	MSH/D004791
MSH/D053243	MSH/D000998
MSH/D000068538	MSH/D058891
MSH/D000068299	MSH/D058666
MSH/D000068299	MSH/D001993
MSH/C106538	MSH/D019380
MSH/C106538	MSH/D018894
MSH/D019259	MSH/D019380
MSH/D019259	MSH/D018894
MSH/D015215	MSH/D019380
MSH/D015215	MSH/D018894
MSH/D015215	MSH/D000963
MSH/C562325	MSH/D019428
MSH/C426859	MSH/D019380
MSH/C426859	MSH/D017320
MSH/D000077592	MSH/D023581
MSH/D000077592	MSH/D065100
MSH/D017762	MSH/D005343
MSH/D017762	MSH/D000925
MSH/D000420	MSH/D058666
MSH/D000420	MSH/D001993
MSH/D000420	MSH/D015149
MSH/C534611	MSH/D000097789
MSH/D019980	MSH/D065093
MSH/D019980	MSH/D000900
MSH/D017706	MSH/D002316
MSH/D017706	MSH/D000806
MSH/D017706	MSH/D000959
MSH/D018170	MSH/D058825
MSH/D018170	MSH/D014662
MSH/D000077483	MSH/D000998
MSH/D016642	MSH/D018687
MSH/D016642	MSH/D018765
MSH/D016642	MSH/D065690
MSH/D016642	MSH/D000077444
MSH/D000069444	MSH/D018926
MSH/D000069444	MSH/D018927
MSH/C433247	MSH/D058988
MSH/D008687	MSH/D007004
MSH/C520025	MSH/D058667
MSH/C520025	MSH/D064804
MSH/D000069464	MSH/D064804
MSH/D000069464	MSH/D018727
MSH/D000077409	MSH/D064804
MSH/D000077409	MSH/D058668
MSH/C057619	MSH/D007004
MSH/C057619	MSH/D007166
MSH/C057619	MSH/D000889
MSH/C106783	MSH/D058825
MSH/C106783	MSH/D014662
MSH/D000077332	MSH/D000962
MSH/D000077332	MSH/D000970
MSH/D000077332	MSH/D000998
MSH/D000077332	MSH/D012556
MSH/C007030	MSH/D000962
MSH/D003622	MSH/D005493
MSH/D003622	MSH/D000890
MSH/D003622	MSH/D000962
MSH/D003622	MSH/D007917
MSH/C572941	MSH/D000077203
