from	to
1	UMLS/C0948089
3	UMLS/C0039504
4	UMLS/C0033860
8	UMLS/C0948089
9	UMLS/C0948089
10	UMLS/C0948089
11	UMLS/C0948089
12	UMLS/C0033860
13	UMLS/C0020538
14	UMLS/C0020538
16	UMLS/C0042963
16	UMLS/C0027497
19	UMLS/C0948089
20	UMLS/C0011603
32	UMLS/C0035455
33	UMLS/C0035455
34	UMLS/C0035455
35	UMLS/C0035455
36	UMLS/C0035455
37	UMLS/C0035455
38	UMLS/C0035455
39	UMLS/C0035455
40	UMLS/C0004096
41	UMLS/C0004096
42	UMLS/C0004096
47	UMLS/C0004096
48	UMLS/C0023467
49	UMLS/C0001883
51	UMLS/C0035455
52	UMLS/C0004096
53	UMLS/C0026764
54	UMLS/C0014544
55	UMLS/C0236780
56	UMLS/C0236780
74	UMLS/C0020564
79	UMLS/C0011860
80	UMLS/C0011860
82	UMLS/C0011581
101	UMLS/C0004611
101	UMLS/C0009450
102	UMLS/C0009450
102	UMLS/C0004611
102	UMLS/C0851578
103	UMLS/C0009450
103	UMLS/C0004611
103	UMLS/C0851578
104	UMLS/C0009450
104	UMLS/C0004611
104	UMLS/C0851578
105	UMLS/C0014544
106	UMLS/C0333641
107	UMLS/C0017185
108	UMLS/C0029456
110	UMLS/C0030567
111	UMLS/C0030567
112	UMLS/C0035309
113	UMLS/C0035309
114	UMLS/C0002726
115	UMLS/C0002726
116	UMLS/C0002726
117	UMLS/C0002726
118	UMLS/C0011881
119	UMLS/C0011881
120	UMLS/C0035455
121	UMLS/C0149931
122	UMLS/C0149931
123	UMLS/C0149931
124	UMLS/C0948089
125	UMLS/C0948089
127	UMLS/C0026847
132	UMLS/C0030358
132	UMLS/C0009450
134	UMLS/C0021390
135	UMLS/C0001144
135	UMLS/C0041755
135	UMLS/C0019163
135	UMLS/C0334108
135	UMLS/C0039614
136	UMLS/C0001144
136	UMLS/C0041755
136	UMLS/C0018801
136	UMLS/C0019163
136	UMLS/C0334108
136	UMLS/C0039614
137	UMLS/C0001144
137	UMLS/C0041755
137	UMLS/C0018801
137	UMLS/C0019163
