from	to
51	UMLS/C2934026
52	UMLS/C3659427
120	UMLS/C1744311
433	UMLS/C4549166
2429	UMLS/C4549166
2430	UMLS/C4549166
2448	UMLS/C1744311
2449	UMLS/C1744311
2450	UMLS/C1744311
3280	UMLS/C3530051
3281	UMLS/C3530051
3353	UMLS/C2002402
3437	UMLS/C3886130
3439	UMLS/C3659427
3440	UMLS/C3659427
3469	UMLS/C1744311
3470	UMLS/C1744311
3471	UMLS/C1744311
3538	UMLS/C3177195
3539	UMLS/C3177195
3540	UMLS/C3177195
3540	UMLS/C3177194
3541	UMLS/C3253188
3541	UMLS/C3253619
3542	UMLS/C2703119
3543	UMLS/C4278474
3544	UMLS/C3852542
3545	UMLS/C3852542
3546	UMLS/C3852542
3547	UMLS/C3852542
3548	UMLS/C3711860
3549	UMLS/C3711860
3550	UMLS/C3711860
3551	UMLS/C3711860
3552	UMLS/C3711860
3553	UMLS/C3711860
3554	UMLS/C3711860
3556	UMLS/C3713902
3557	UMLS/C4079824
3558	UMLS/C3253174
3559	UMLS/C3253174
3560	UMLS/C3253174
3561	UMLS/C3253174
3562	UMLS/C3253174
3563	UMLS/C3852548
3570	UMLS/C4045451
3571	UMLS/C3712181
3572	UMLS/C3712181
3573	UMLS/C3712181
3575	UMLS/C3849072
3578	UMLS/C4079835
3580	UMLS/C3851694
3581	UMLS/C2347618
3582	UMLS/C3886165
3583	UMLS/C3886165
3586	UMLS/C3658590
3588	UMLS/C3177194
3589	UMLS/C3177194
3592	UMLS/C0914699
3593	UMLS/C2742038
3594	UMLS/C2742038
3595	UMLS/C2742038
3596	UMLS/C2742038
3597	UMLS/C4079641
3598	UMLS/C4079641
3603	UMLS/C3659427
3604	UMLS/C3659427
3605	UMLS/C3659427
3623	UMLS/C3180886
3653	UMLS/C3712181
3715	UMLS/C3253012
3716	UMLS/C3253012
3717	UMLS/C3253012
3718	UMLS/C3714228
3719	UMLS/C2742038
3786	UMLS/C3713902
3789	UMLS/C4079835
3885	UMLS/C4045304
3886	UMLS/C2347443
3888	UMLS/C3180886
3921	UMLS/C3712181
3974	UMLS/C4278474
4010	UMLS/C2981865
4225	UMLS/C5196682
4309	UMLS/C2984506
4310	UMLS/C4079591
4312	UMLS/C3886520
4313	UMLS/C3886520
4314	UMLS/C3886520
4415	UMLS/C5392354
4416	UMLS/C4279387
4503	UMLS/C3713989
4504	UMLS/C3713989
4505	UMLS/C3713989
4638	UMLS/C3253174
4661	UMLS/C4505911
4788	UMLS/C3711860
4790	UMLS/C2984506
4877	UMLS/C2981865
4916	UMLS/C4505911
4962	UMLS/C4053638
4971	UMLS/C5576950
4996	UMLS/C4079591
4997	UMLS/C4079591
5034	UMLS/C3896844
5107	UMLS/C2985195
5108	UMLS/C4727783
5108	UMLS/C4727784
5110	UMLS/C4705766
14492	UMLS/C4705543
14494	UMLS/C3827123
14533	UMLS/C5565730
14534	UMLS/C5565730
14549	UMLS/C3827121
14550	UMLS/C5139715
14556	UMLS/C2934026
14557	UMLS/C3884469
14561	UMLS/C3896844
14572	UMLS/C5198241
16026	UMLS/C3180886
16038	UMLS/C4053638
16043	UMLS/C4053638
16066	UMLS/C2700264
16067	UMLS/C2700264
16107	UMLS/C4053638
16118	UMLS/C4742753
16120	UMLS/C5227418
19558	UMLS/C5392621
19590	UMLS/C5226839
19594	UMLS/C2981865
19598	UMLS/C5226839
19601	UMLS/C5576950
19602	UMLS/C5576950
19610	UMLS/C3896845
19674	UMLS/C5196507
19675	UMLS/C5196507
19676	UMLS/C5196507
19677	UMLS/C5196507
19680	UMLS/C3659427
19761	UMLS/C4705766
19811	UMLS/C5196682
19812	UMLS/C5226839
19828	UMLS/C5392354
19832	UMLS/C5392505
19833	UMLS/C5392505
19884	UMLS/C3852542
19885	UMLS/C3180886
19890	UMLS/C5433906
19892	UMLS/C4078791
19897	UMLS/C2981865
19917	UMLS/C3179804
19923	UMLS/C5442040
19935	UMLS/C5392405
20058	UMLS/C3827120
20061	UMLS/C4079835
20101	UMLS/C3660728
20281	UMLS/C5196507
20290	UMLS/C5392742
20291	UMLS/C5198358
20310	UMLS/C5198358
20325	UMLS/C5565723
20374	UMLS/C5392621
20572	UMLS/C5392742
20575	UMLS/C4548814
20588	UMLS/C4279387
20589	UMLS/C5196507
20725	UMLS/C4287760
20729	UMLS/C4053679
20740	UMLS/C0017861
20762	UMLS/C4079591
20768	UMLS/C5226839
20789	UMLS/C5198173
20826	UMLS/C5772748
20827	UMLS/C5392621
20860	UMLS/C5198173
20863	UMLS/C5392621
20867	UMLS/C3827121
20869	UMLS/C3179804
20880	UMLS/C2703095
20902	UMLS/C3827123
20904	UMLS/C5226839
20906	UMLS/C5392621
20908	UMLS/C5565453
20940	UMLS/C4305639
20941	UMLS/C4742765
20990	UMLS/C5392621
20994	UMLS/C5772748
20995	UMLS/C5772748
20996	UMLS/C5772748
21029	UMLS/C5565453
21031	UMLS/C3827120
21032	UMLS/C3827159
