from	to
1	UMLS/C2929668
3	UMLS/C1723401
4	UMLS/C0065767
8	UMLS/C1720375
9	UMLS/C1720375
10	UMLS/C1720375
11	UMLS/C1720375
12	UMLS/C0065767
13	UMLS/C0054836
14	UMLS/C0054836
16	UMLS/C2347566
19	UMLS/C1720375
20	UMLS/C0008992
21	UMLS/C2699560
22	UMLS/C2699560
23	UMLS/C2699560
32	UMLS/C1948374
33	UMLS/C1948374
34	UMLS/C1948374
35	UMLS/C1948374
36	UMLS/C1948374
37	UMLS/C1948374
38	UMLS/C1948374
39	UMLS/C0117996
40	UMLS/C1622832
41	UMLS/C1622832
42	UMLS/C1622832
43	UMLS/C1622832
44	UMLS/C1622832
45	UMLS/C1622832
46	UMLS/C1622832
47	UMLS/C1622832
48	UMLS/C1099664
49	UMLS/C1099664
50	UMLS/C1099664
53	UMLS/C0064636
54	UMLS/C0064636
55	UMLS/C0064636
56	UMLS/C0064636
74	UMLS/C1532673
79	UMLS/C2935224
80	UMLS/C2935224
82	UMLS/C0070122
101	UMLS/C1703334
102	UMLS/C1703334
103	UMLS/C1703334
104	UMLS/C1703334
105	UMLS/C0530684
106	UMLS/C2699087
107	UMLS/C2825588
108	UMLS/C2825588
110	UMLS/C0244821
111	UMLS/C0244821
112	UMLS/C0244821
113	UMLS/C0244821
114	UMLS/C0289313
115	UMLS/C0289313
116	UMLS/C0289313
117	UMLS/C0289313
118	UMLS/C0289313
119	UMLS/C0289313
121	UMLS/C2343923
122	UMLS/C2343923
123	UMLS/C2343923
124	UMLS/C0288792
125	UMLS/C0288792
127	UMLS/C2607417
128	UMLS/C2607417
132	UMLS/C1721788
134	UMLS/C0305065
135	UMLS/C0012547
135	UMLS/C0305062
135	UMLS/C0062527
135	UMLS/C0032375
136	UMLS/C0305062
136	UMLS/C0062086
137	UMLS/C0305062
137	UMLS/C0062086
138	UMLS/C0012547
138	UMLS/C0305062
138	UMLS/C0982332
140	UMLS/C0305062
140	UMLS/C0296104
141	UMLS/C0305062
141	UMLS/C0062527
141	UMLS/C0062086
142	UMLS/C0305062
142	UMLS/C0062527
142	UMLS/C0062086
143	UMLS/C0026782
143	UMLS/C0035923
143	UMLS/C0078048
144	UMLS/C0026782
144	UMLS/C0035923
144	UMLS/C0078048
145	UMLS/C0026782
145	UMLS/C0035923
145	UMLS/C0078048
146	UMLS/C0003330
146	UMLS/C0012547
146	UMLS/C0305062
146	UMLS/C0982332
147	UMLS/C0003330
147	UMLS/C0012547
147	UMLS/C0305062
147	UMLS/C0982332
148	UMLS/C0003330
148	UMLS/C0012547
148	UMLS/C0305062
148	UMLS/C0982332
149	UMLS/C0003330
149	UMLS/C0012547
149	UMLS/C0305062
149	UMLS/C0982332
150	UMLS/C0003330
150	UMLS/C0012547
150	UMLS/C0305062
150	UMLS/C0982332
151	UMLS/C0003330
151	UMLS/C0012547
151	UMLS/C0305062
151	UMLS/C0032375
152	UMLS/C0003330
152	UMLS/C0012547
152	UMLS/C0305062
152	UMLS/C0032375
153	UMLS/C0012547
153	UMLS/C0305062
153	UMLS/C0982332
154	UMLS/C0012547
154	UMLS/C0305062
154	UMLS/C0982332
155	UMLS/C0062527
156	UMLS/C0021403
156	UMLS/C4290039
158	UMLS/C2981835
159	UMLS/C0021403
160	UMLS/C0021403
161	UMLS/C2981835
162	UMLS/C2981835
163	UMLS/C2981835
164	UMLS/C2981835
165	UMLS/C2981835
166	UMLS/C2981835
167	UMLS/C2981835
168	UMLS/C2981835
169	UMLS/C2981835
170	UMLS/C2981835
171	UMLS/C2981835
172	UMLS/C2981835
173	UMLS/C2981835
174	UMLS/C2981835
175	UMLS/C2981835
176	UMLS/C2981835
177	UMLS/C2981835
178	UMLS/C2981835
179	UMLS/C2981835
180	UMLS/C2981835
181	UMLS/C2981835
183	UMLS/C2981835
184	UMLS/C2981835
185	UMLS/C2981835
186	UMLS/C2981835
187	UMLS/C2981835
188	UMLS/C2981835
189	UMLS/C2981835
190	UMLS/C2981835
191	UMLS/C2981835
192	UMLS/C2981835
193	UMLS/C2981835
194	UMLS/C2981835
195	UMLS/C0296104
196	UMLS/C0062086
196	UMLS/C0296104
197	UMLS/C0062086
197	UMLS/C0296104
198	UMLS/C0062527
199	UMLS/C0062527
200	UMLS/C0305062
200	UMLS/C0062086
201	UMLS/C1721788
202	UMLS/C1721788
203	UMLS/C1721788
204	UMLS/C1721788
205	UMLS/C1721788
206	UMLS/C1721788
207	UMLS/C1721788
208	UMLS/C1721788
209	UMLS/C1721788
210	UMLS/C1721788
211	UMLS/C1721788
212	UMLS/C1721788
213	UMLS/C1721788
214	UMLS/C0021403
215	UMLS/C0021403
216	UMLS/C0021403
217	UMLS/C0021403
218	UMLS/C0021403
219	UMLS/C0021403
220	UMLS/C0021403
221	UMLS/C0021403
222	UMLS/C0021403
223	UMLS/C0021403
224	UMLS/C0021403
225	UMLS/C0021403
226	UMLS/C0021403
227	UMLS/C0021403
228	UMLS/C0021403
229	UMLS/C0021403
229	UMLS/C4290039
230	UMLS/C0021403
231	UMLS/C0021403
232	UMLS/C0021403
233	UMLS/C0021403
234	UMLS/C0021403
235	UMLS/C0021403
236	UMLS/C0021403
237	UMLS/C0021403
253	UMLS/C0305065
254	UMLS/C0305065
255	UMLS/C0305065
256	UMLS/C0305065
257	UMLS/C0305065
258	UMLS/C0305065
259	UMLS/C0305065
260	UMLS/C0305065
261	UMLS/C0305065
262	UMLS/C0305065
263	UMLS/C0305065
264	UMLS/C0305065
265	UMLS/C0305065
266	UMLS/C0305065
267	UMLS/C0042210
268	UMLS/C0042210
269	UMLS/C0042210
270	UMLS/C0597418
271	UMLS/C0597418
272	UMLS/C0597418
273	UMLS/C0597418
274	UMLS/C0305065
275	UMLS/C0305065
276	UMLS/C0597418
277	UMLS/C0597418
278	UMLS/C0597418
279	UMLS/C0597418
280	UMLS/C0305062
280	UMLS/C0062086
281	UMLS/C0216660
282	UMLS/C0216660
283	UMLS/C0216660
284	UMLS/C0216660
285	UMLS/C0216660
286	UMLS/C0216660
287	UMLS/C0216660
288	UMLS/C0216660
289	UMLS/C0216660
290	UMLS/C0216660
291	UMLS/C0216660
292	UMLS/C0216660
293	UMLS/C0216660
294	UMLS/C0216660
295	UMLS/C0216660
296	UMLS/C1720375
297	UMLS/C0530684
298	UMLS/C0530684
299	UMLS/C0530684
300	UMLS/C2981835
301	UMLS/C2981835
303	UMLS/C2981835
304	UMLS/C2981835
305	UMLS/C2981835
306	UMLS/C0062086
306	UMLS/C0296104
312	UMLS/C2347566
313	UMLS/C2699560
314	UMLS/C2699560
320	UMLS/C0064636
321	UMLS/C0064636
322	UMLS/C0064636
323	UMLS/C0064636
324	UMLS/C0064636
325	UMLS/C0530684
326	UMLS/C0244821
327	UMLS/C0289313
328	UMLS/C0288792
329	UMLS/C0288792
330	UMLS/C0288792
331	UMLS/C0288792
332	UMLS/C0054836
333	UMLS/C0012547
333	UMLS/C0305062
333	UMLS/C0062527
333	UMLS/C0032375
334	UMLS/C0012547
334	UMLS/C0305062
334	UMLS/C0062527
334	UMLS/C0032375
335	UMLS/C0012547
335	UMLS/C0305062
335	UMLS/C0062527
335	UMLS/C0032375
336	UMLS/C0012547
336	UMLS/C0305062
336	UMLS/C0062527
336	UMLS/C0032375
337	UMLS/C0012547
337	UMLS/C0305062
337	UMLS/C0062527
337	UMLS/C0032375
338	UMLS/C0305062
338	UMLS/C0717811
339	UMLS/C0305062
339	UMLS/C0062086
340	UMLS/C0305062
340	UMLS/C0062086
341	UMLS/C0305065
342	UMLS/C0305062
342	UMLS/C0062086
343	UMLS/C0305062
343	UMLS/C0062086
344	UMLS/C0305062
344	UMLS/C0062086
345	UMLS/C0305062
345	UMLS/C0062086
346	UMLS/C0305062
346	UMLS/C0062086
347	UMLS/C0305062
347	UMLS/C0062086
348	UMLS/C0305062
348	UMLS/C0062086
349	UMLS/C0305062
349	UMLS/C0062086
350	UMLS/C0305062
350	UMLS/C0717811
351	UMLS/C0305062
351	UMLS/C0717811
352	UMLS/C0305062
