from	to
1	GSK
3	GSK
4	GSK
8	GSK
9	GSK
10	GSK
11	GSK
12	GSK
13	GSK
14	GSK
16	GSK
19	GSK
20	GSK
21	GSK
22	GSK
23	GSK
32	GSK
33	GSK
34	GSK
35	GSK
36	GSK
37	GSK
38	GSK
39	GSK
40	GSK
41	GSK
42	GSK
43	GSK
44	GSK
45	GSK
46	GSK
47	GSK
48	GSK
49	GSK
50	GSK
51	GSK
52	GSK
53	GSK
54	GSK
55	GSK
56	GSK
74	GSK
79	GSK
80	GSK
82	GSK
101	GSK
102	GSK
103	GSK
104	GSK
105	GSK
106	GSK
107	GSK
108	GSK
110	GSK
111	GSK
112	GSK
113	GSK
114	GSK
115	GSK
116	GSK
117	GSK
118	GSK
119	GSK
120	GSK
121	GSK
122	GSK
123	GSK
124	GSK
125	GSK
127	GSK
128	GSK
132	GSK
134	GSK
135	GSK
136	GSK
137	GSK
138	GSK
140	GSK
141	GSK
142	GSK
143	GSK
144	GSK
145	GSK
146	GSK
147	GSK
148	GSK
149	GSK
150	GSK
151	GSK
152	GSK
153	GSK
154	GSK
155	GSK
156	GSK
157	GSK
158	GSK
159	GSK
160	GSK
161	GSK
162	GSK
163	GSK
164	GSK
165	GSK
166	GSK
167	GSK
168	GSK
169	GSK
170	GSK
171	GSK
172	GSK
173	GSK
174	GSK
175	GSK
176	GSK
177	GSK
178	GSK
179	GSK
180	GSK
181	GSK
183	GSK
184	GSK
185	GSK
186	GSK
187	GSK
188	GSK
189	GSK
190	GSK
191	GSK
192	GSK
193	GSK
194	GSK
195	GSK
196	GSK
197	GSK
198	GSK
199	GSK
200	GSK
201	GSK
202	GSK
203	GSK
204	GSK
205	GSK
206	GSK
207	GSK
208	GSK
209	GSK
210	GSK
211	GSK
212	GSK
213	GSK
214	GSK
215	GSK
216	GSK
217	GSK
218	GSK
219	GSK
220	GSK
221	GSK
222	GSK
223	GSK
224	GSK
225	GSK
226	GSK
227	GSK
228	GSK
229	GSK
230	GSK
231	GSK
232	GSK
233	GSK
234	GSK
235	GSK
236	GSK
237	GSK
253	GSK
254	GSK
255	GSK
256	GSK
257	GSK
258	GSK
259	GSK
260	GSK
261	GSK
262	GSK
263	GSK
264	GSK
265	GSK
266	GSK
267	GSK
268	GSK
269	GSK
270	GSK
271	GSK
272	GSK
273	GSK
274	GSK
275	GSK
276	GSK
277	GSK
278	GSK
279	GSK
280	GSK
281	GSK
282	GSK
283	GSK
284	GSK
285	GSK
286	GSK
287	GSK
288	GSK
289	GSK
290	GSK
291	GSK
292	GSK
293	GSK
294	GSK
295	GSK
296	GSK
297	GSK
298	GSK
299	GSK
300	GSK
301	GSK
303	GSK
304	GSK
305	GSK
306	GSK
312	GSK
313	GSK
314	GSK
319	GSK
320	GSK
321	GSK
322	GSK
323	GSK
324	GSK
325	GSK
326	GSK
327	GSK
328	GSK
329	GSK
330	GSK
331	GSK
332	GSK
333	GSK
334	GSK
335	GSK
336	GSK
337	GSK
338	GSK
339	GSK
340	GSK
341	GSK
342	GSK
343	GSK
344	GSK
345	GSK
346	GSK
347	GSK
348	GSK
349	GSK
350	GSK
351	GSK
352	GSK
353	GSK
358	GSK
359	GSK
360	GSK
361	GSK
362	GSK
363	GSK
364	GSK
365	GSK
366	GSK
367	GSK
368	GSK
369	GSK
370	GSK
371	GSK
372	GSK
373	GSK
374	GSK
375	GSK
376	GSK
377	GSK
378	GSK
379	GSK
380	GSK
381	GSK
382	GSK
383	GSK
384	GSK
385	GSK
386	GSK
387	GSK
388	GSK
389	GSK
390	GSK
391	GSK
392	GSK
394	GSK
396	GSK
397	GSK
398	GSK
399	GSK
400	GSK
401	GSK
402	GSK
403	GSK
404	GSK
405	GSK
406	GSK
407	GSK
408	GSK
409	GSK
410	GSK
411	GSK
412	GSK
413	GSK
414	GSK
415	GSK
416	GSK
417	GSK
418	GSK
419	GSK
420	GSK
421	GSK
422	GSK
423	GSK
424	GSK
425	GSK
426	GSK
427	GSK
428	GSK
429	GSK
430	GSK
433	GSK
436	GSK
437	GSK
438	GSK
439	GSK
440	GSK
441	GSK
443	GSK
444	GSK
445	GSK
446	GSK
447	GSK
448	GSK
449	GSK
450	GSK
451	GSK
452	GSK
453	GSK
454	GSK
455	GSK
457	GSK
464	GSK
465	GSK
466	GSK
467	GSK
468	GSK
469	GSK
470	GSK
471	GSK
472	GSK
473	GSK
474	GSK
475	GSK
476	GSK
477	GSK
478	GSK
479	GSK
480	GSK
481	GSK
482	GSK
483	GSK
484	GSK
485	GSK
486	GSK
487	GSK
489	GSK
490	GSK
491	GSK
492	GSK
494	GSK
495	GSK
496	GSK
497	GSK
498	GSK
499	GSK
500	GSK
501	GSK
502	GSK
503	GSK
507	GSK
508	GSK
509	GSK
510	GSK
511	GSK
512	GSK
514	GSK
520	GSK
521	GSK
522	GSK
523	GSK
524	GSK
525	GSK
526	GSK
527	GSK
529	GSK
533	GSK
534	GSK
535	GSK
536	GSK
537	GSK
538	GSK
539	GSK
540	GSK
541	GSK
542	GSK
543	GSK
544	GSK
545	GSK
546	GSK
547	GSK
548	GSK
1276	GSK
1277	GSK
1278	GSK
1279	GSK
1280	GSK
1281	GSK
1282	GSK
1283	GSK
1284	GSK
1285	GSK
1286	GSK
1287	GSK
1288	GSK
1289	GSK
1290	GSK
1291	GSK
1292	GSK
1293	GSK
1294	GSK
1295	GSK
1296	GSK
1297	GSK
1298	GSK
1299	GSK
1300	GSK
1301	GSK
1302	GSK
1303	GSK
1304	GSK
1305	GSK
1306	GSK
1372	ViiV
1373	ViiV
1374	ViiV
1375	ViiV
1376	ViiV
1377	ViiV
1378	ViiV
1379	ViiV
1380	ViiV
1381	ViiV
1382	ViiV
1383	ViiV
1384	ViiV
1385	ViiV
1386	ViiV
1387	ViiV
1388	ViiV
1389	ViiV
1390	ViiV
1391	ViiV
1392	ViiV
1393	ViiV
1394	ViiV
1395	ViiV
1396	ViiV
1397	ViiV
1398	ViiV
1399	ViiV
1400	ViiV
1401	ViiV
1402	ViiV
1403	ViiV
1404	ViiV
1405	ViiV
1406	ViiV
1415	GSK
1416	GSK
1417	GSK
1418	GSK
1420	GSK
1421	GSK
1422	GSK
1423	GSK
1424	GSK
1426	GSK
1427	GSK
1429	GSK
1430	GSK
1433	GSK
1434	GSK
1435	GSK
1436	GSK
1437	GSK
1438	GSK
1439	GSK
1440	GSK
1441	GSK
1442	GSK
1443	GSK
1444	GSK
1445	GSK
1446	GSK
1447	GSK
1448	GSK
1449	GSK
1450	GSK
1452	GSK
1453	GSK
1454	GSK
1455	GSK
1456	GSK
1457	GSK
1458	GSK
1459	GSK
1460	GSK
1461	GSK
1462	GSK
1463	GSK
1464	GSK
1465	GSK
1466	GSK
1467	GSK
1468	GSK
1469	GSK
1470	GSK
1471	GSK
1472	GSK
1473	GSK
1474	GSK
1475	GSK
1476	GSK
1477	GSK
1478	GSK
1479	GSK
1480	GSK
1481	GSK
1482	GSK
1483	GSK
1484	GSK
1485	GSK
1486	GSK
1487	GSK
1488	GSK
1490	GSK
1491	GSK
1492	GSK
1493	GSK
1494	GSK
1495	GSK
1496	GSK
1497	GSK
1498	GSK
1499	GSK
1500	GSK
1501	GSK
1502	GSK
1503	GSK
1504	GSK
1505	GSK
1506	GSK
1507	GSK
1508	GSK
1509	GSK
1510	GSK
1511	GSK
1512	GSK
1513	GSK
1514	GSK
1515	GSK
1516	GSK
1517	GSK
1518	GSK
1519	GSK
1520	GSK
1521	GSK
1522	GSK
1523	GSK
1524	GSK
1525	GSK
1526	GSK
1527	GSK
1528	GSK
1529	GSK
1530	GSK
1531	GSK
1532	GSK
1533	GSK
1534	GSK
1535	GSK
1536	GSK
1537	GSK
1538	GSK
1539	GSK
1540	GSK
1541	GSK
1542	GSK
1545	GSK
1546	GSK
1547	GSK
1548	GSK
1549	GSK
1550	GSK
1551	GSK
1552	GSK
1553	GSK
1554	GSK
1555	GSK
1556	GSK
1557	GSK
1609	GSK
1610	GSK
1611	GSK
1612	GSK
1613	GSK
1617	GSK
1623	GSK
1632	GSK
1633	GSK
1634	GSK
1637	GSK
1638	GSK
1639	GSK
1641	GSK
1642	GSK
1643	GSK
1644	ViiV
1656	GSK
1657	GSK
1658	GSK
1659	GSK
1660	GSK
1661	GSK
1662	GSK
1663	GSK
1664	GSK
1665	GSK
1666	GSK
1667	GSK
1668	GSK
1669	GSK
1670	GSK
1671	GSK
1672	GSK
1673	GSK
1674	GSK
1675	GSK
1676	GSK
1677	GSK
1678	GSK
1679	GSK
1680	GSK
1681	GSK
1682	GSK
1683	GSK
1684	GSK
1685	GSK
1686	GSK
1687	GSK
1688	GSK
1689	GSK
1690	GSK
1691	GSK
1692	GSK
1693	GSK
1707	GSK
1708	GSK
1709	GSK
1710	GSK
1711	GSK
1712	GSK
1713	GSK
1715	GSK
