from	to
C0048318	C0023321
C0035629	C0021400
C0027603	C0019151
C0027603	C0014836
C0027603	C0162627
C0027603	C0004623
C0073085	C0035854
C0073085	C0001144
C0008947	C1535939
C0008947	C0085166
C0008947	C0004623
C0008947	C0004669
C0008947	C0040558
C0008947	C0038160
C0008947	C0038395
C0008947	C0001144
C0008947	C0001255
C0033254	C0242422
C0009074	C0700345
C0009074	C0006846
C0009074	C0006849
C0009074	C0040259
C0009074	C0026946
C1137427	C0002986
C0031463	C0003868
C0017628	C0011860
C0795635	C0020456
C0795635	C0020461
C0795635	C0011854
C0795635	C0011860
C0795635	C0011880
C0795635	C0027055
C0086444	C1458155
C0004499	C0018482
C0004499	C0014836
C0004499	C0004623
C0022181	C0017601
C0022181	C0038379
C4519126	C0338480
C4519126	C0154723
C4519126	C0149931
C0021978	C0016436
C0021978	C0011603
C0021978	C0162848
C0021978	C0175167
C0021978	C0040259
C1832027	C0023448
C0036078	C3495559
C0036078	C0009324
C0036078	C0003873
C0074710	C0011581
C0074710	C0030567
C0016299	C0021368
C0016299	C0018567
C0016299	C0015456
C0016299	C0016509
C0016299	C0036271
C0016299	C0033774
C0016299	C0023219
C0029994	C0018889
C0029994	C0036330
C4043101	C0002395
C0085542	C0020443
C0085542	C0020476
C0085542	C0020557
C0085542	C1956346
C1176309	C0026764
C1176309	C4721414
C0002144	C0018099
C0054201	C0035457
C0054201	C0021390
C0718066	C0010674
C0718066	C0005283
C0718066	C0002895
C0718066	C0027022
C1700874	C0007134
C0002435	C0014836
C0002435	C0085423
C0002435	C0041471
C0002435	C0042029
C0002435	C0004623
C0002435	C0022729
C0015120	C0030201
C0042670	C0019618
C0042670	C0019829
C0042670	C1458155
C0042670	C0018671
C0042670	C0008497
C0042670	C0398650
C0042670	C0039590
C0042670	C0026948
C0042670	C0036220
C0042670	C0024121
C0042670	C0022665
C5139798	C0002986
C0028215	C0021308
C0028215	C0852283
C0028215	C0001957
C0029193	C0008677
C0029193	C0006266
C0029193	C0004096
C0029193	C0034067
C0032952	C2607914
C0032952	C0020437
C0032952	C0021368
C0032952	C0018133
C0032952	C0014742
C0032952	C0009766
C0032952	C0011608
C0032952	C0011615
C0032952	C0011616
C0032952	C0009324
C0032952	C0009326
C0032952	C0398650
C0032952	C0005138
C0032952	C0006444
C0032952	C0002880
C0032952	C0003872
C0032952	C0039103
C0032952	C0004096
C0032952	C0040147
C0032952	C0038013
C0032952	C0041327
C0032952	C0035435
C0032952	C0026769
C0032952	C0036202
C0032952	C0030807
C0032952	C0036508
C0032952	C0036830
C0032952	C0027726
C0032952	C0024141
C0032952	C0024299
C0032952	C0022081
C0032952	C0001623
C0032952	C0023418
C0014758	C0002962
C0284941	C0001973
C3253985	C0019693
C0060657	C0006266
C0060657	C0004096
C0040864	C0020437
C0040864	C0021368
C0040864	C0018567
C0040864	C0015456
C0040864	C0016509
C0040864	C0014742
C0040864	C0011608
C0040864	C0011615
C0040864	C0009324
C0040864	C0005138
C0040864	C0006266
C0040864	C0002878
C0040864	C0039103
C0040864	C0042164
C0040864	C0040147
C0040864	C0038013
C0040864	C0041327
C0040864	C0035435
C0040864	C0035457
C0040864	C0026769
C0040864	C0030807
C0040864	C0036271
C0040864	C0036830
C0040864	C0027726
C0040864	C0024141
C0040864	C0001623
C0040864	C0023219
C3885063	C0013221
C0142825	C0042018
C0041009	C0030567
C0041009	C0000771
C0051556	C0021368
C0051556	C0018567
C0051556	C0015456
C0051556	C0016509
C0051556	C0011603
C0051556	C0036271
C0051556	C0023219
C0379135	C0011882
C0078643	C0027429
C0024730	C1527311
C0024730	C0003460
C0024730	C0028840
C0024730	C0028961
C0016377	C0021368
C0016377	C0271051
C0016377	C0003873
C0016377	C0029408
C0016377	C0026205
C2987430	C0007131
C4519300	C0700345
C0699481	C0039614
C0699481	C0037763
C0699481	C0030193
C0699481	C0026821
C0699481	C0026837
C0699481	C0027121
C0028365	C0018081
C0028365	C0018482
C0028365	C0014836
C0028365	C0009768
C0028365	C0010692
C0028365	C0042029
C0028365	C0004623
C0028365	C0038160
C0028365	C0033581
C0028365	C0033740
C0028365	C0033817
C0008269	C0003873
C0008269	C0030807
C0008269	C0036421
C0008269	C0024138
C0008269	C0024530
C0008269	C0024533
C0008269	C0024535
C0008269	C0002438
C0018318	C0020538
C0073629	C0085083
C0065865	C0013182
C0065865	C0009766
C0065865	C0036416
C5139890	C0011884
C5139890	C0242383
C0020281	C0038941
C3709474	C0008677
C3709474	C0034067
C0010592	C0017668
C0010592	C0003873
C0010592	C0026896
C0010592	C0033860
C0010592	C0024141
C1172636	C0004623
C1172636	C0037278
C1172636	C0038160
C1172636	C0038395
C3661282	C1269683
C0164815	C0019345
C0164815	C0019372
C0164815	C0149678
C0063953	C0016509
C0063953	C0042267
C0063953	C0026946
C1872109	C0010346
C1872109	C0003872
C1872109	C0003873
C1872109	C0038013
C0060501	C0004096
C0060501	C0035457
C0536495	C0018081
C0536495	C0018482
C0536495	C0014836
C0536495	C0010692
C0536495	C0006277
C0536495	C0042029
C0536495	C0004623
C0536495	C0004626
C0536495	C0004669
C0536495	C0037199
C0536495	C0034186
C0536495	C0038160
C0536495	C0038395
C0536495	C0036117
C0536495	C0033700
C0536495	C0033740
C0536495	C0033817
C0536495	C0022729
C0028017	C0018889
C0962603	C0033860
C3899947	C0025202
C0040805	C0011581
C0040805	C0021603
C0074281	C0011156
C0074281	C0221244
C0074281	C0040250
C0074281	C0040262
C0074281	C0036271
C0074281	C0036508
C0020811	C0042769
C0020811	C0022570
C0053570	C0040259
C0053570	C0026946
C2364481	C0398650
C0012381	C0042571
C0012381	C0042963
C0012381	C0026603
C0012381	C0027497
C0085251	C0003811
C0082787	C0021368
C0082787	C0018567
C0082787	C0015456
C0082787	C0016509
C0082787	C0036271
C0082787	C0033774
C0082787	C0023219
C0040845	C0015456
C0040845	C0162834
C0040845	C0001144
C0040845	C0023487
C0048504	C0013221
C0048504	C0032343
C0007248	C0037763
C0007248	C0030193
C0007248	C0026821
C0007248	C0026837
C0007248	C0026838
C0007248	C0027121
C4519167	C1458155
C0002658	C1263846
C0002658	C0027404
C1678805	C0003872
C3854019	C0015404
C3854019	C0014118
C3854019	C0014836
C3854019	C0007684
C3854019	C0005943
C3854019	C0162627
C3854019	C0085394
C3854019	C0042029
C3854019	C0149778
C3854019	C0004623
C3854019	C0035243
C3854019	C0038160
C3854019	C0041325
C3854019	C0033700
C3854019	C0033817
C3854019	C0036690
C3854019	C0022729
C0027679	C0005686
C0027679	C0080274
C0027679	C0026896
C0027679	C0000771
C0001927	C0006266
C0001927	C0004096
C0069805	C0013428
C0069805	C0005697
C0069805	C0042024
C0050403	C0003873
C0050403	C0029408
C0050403	C0038013
C0016351	C0021368
C0016351	C0009763
C0016351	C0022568
C0014479	C0020651
C0014479	C0006266
C0014479	C0004096
C0014479	C0035455
C0057799	C0009763
C0057799	C0005741
C0018880	C0242676
C0012373	C0020538
C0012373	C0002963
C0012373	C0039240
C0012373	C0004238
C0012373	C0004239
C0012373	C0027051
C0055819	C0042035
C0055819	C0001126
C4079904	C0019080
C0093437	C0043352
C0034266	C0936215
C0034266	C0013221
C0034266	C0036572
C0038425	C0018190
C0038425	C0014121
C0038425	C0014836
C0038425	C0007947
C0038425	C0006309
C0038425	C0042029
C0038425	C0032064
C0038425	C0041351
C0038425	C0038395
C0038425	C0026918
C0038425	C0033700
C0038425	C0022729
C0025760	C0032797
C0040233	C0020538
C0040233	C0017612
C0040233	C0018801
C0040233	C0002962
C0040233	C0027051
C0012201	C0028754
C0037125	C0702166
C0037125	C0011334
C0019134	C0010072
C0019134	C0007785
C0019134	C0002965
C0019134	C0040038
C0019134	C0040046
C0019134	C0034065
C0019134	C0032787
C0019134	C0027051
C0033459	C0033975
C0033459	C0001807
C0032950	C0020437
C0032950	C0021368
C0032950	C0013604
C0032950	C0014742
C0032950	C0009763
C0032950	C0011608
C0032950	C0011615
C0032950	C0009324
C0032950	C0009326
C0032950	C0005138
C0032950	C0006118
C0032950	C0002878
C0032950	C0039103
C0032950	C0004096
C0032950	C0042164
C0032950	C0040034
C0032950	C0040147
C0032950	C0038013
C0032950	C0041327
C0032950	C0035435
C0032950	C0026769
C0032950	C0026948
C0032950	C0036202
C0032950	C0030807
C0032950	C0036830
C0032950	C0027726
C0032950	C0024141
C0032950	C0001623
C0032950	C0023418
C0028741	C0700345
C0028741	C0006845
C0028741	C0006846
C0028741	C0006849
C0028741	C0026946
C0023992	C1527298
C0023992	C0011991
C0023992	C0009374
C0022614	C0006434
C0022614	C0030193
C0041031	C0011615
C0041031	C0162820
C0041031	C0042109
C0041031	C0035457
C0008196	C0006849
C0008196	C0085423
C0008196	C0085426
C0008196	C0037278
C0008196	C0031090
C0022487	C0019151
C0022487	C0014836
C0022487	C0085394
C0022487	C0004623
C0022487	C0035243
C0022487	C0038160
C0022487	C0026918
C0022487	C0033700
C0022487	C0001139
C0022487	C0022729
C3885145	C0003873
C4055417	C0007129
C4055417	C0007138
C0069488	C0006840
C0069488	C0040262
C0393080	C0276758
C0393080	C0006840
C0393080	C0004030
C0393080	C0026946
C0050393	C0011860
C0051511	C0020458
C0002334	C0020538
C0002334	C0340288
C0002334	C0003811
C2352806	C0007131
C0262964	C0041296
C0262964	C0026918
C0041098	C0009766
C0041098	C0011615
C0041098	C0035455
C0005578	C0013221
C0005578	C0030567
C0060241	C0162316
C0060241	C0032964
C0037688	C0009806
C0037688	C0032343
C0128513	C0018801
C0128513	C0013221
C0059699	C0014849
C0008809	C0018081
C0008809	C0018482
C0008809	C0015967
C0008809	C1112209
C0008809	C0013369
C0008809	C0014836
C0008809	C0009768
C0008809	C0010692
C0008809	C0011991
C0008809	C0006818
C0008809	C0162627
C0008809	C0003175
C0008809	C0041466
C0008809	C0003869
C0008809	C0042029
C0008809	C0004623
C0008809	C0004669
C0008809	C0037199
C0008809	C0034186
C0008809	C0029443
C0008809	C0029878
C0008809	C0038160
C0008809	C0033581
C0008809	C0033700
C0008809	C0033740
C0008809	C0033817
C0008809	C0027947
C0008809	C0022729
C0017725	C0020615
C0017725	C0032787
C0085228	C0011581
C0085228	C0030319
C0085228	C0028768
C0066101	C0013595
C0066101	C0011615
C0066101	C0162820
C0066101	C0042109
C0066101	C0032026
C0066101	C0035457
C0033567	C0020542
C0033567	C0852283
C0033567	C0003850
C0033567	C0085096
C0033567	C0034150
C0033567	C0036421
C0017066	C0010823
C0017066	C0162526
C0017066	C0206178
C3886623	C0001815
C0543448	C0024473
C0001040	C0011156
C0389169	C1112209
C0389169	C0042029
C0389169	C0004623
C0064906	C0014175
C0064906	C0034013
C0041165	C0018081
C0041165	C0008149
C0041165	C0006818
C0041165	C0039128
C0041165	C0004096
C0041165	C0038160
C0041165	C0038395
C0041165	C0026936
C0041165	C0023241
C0004259	C0018790
C0004259	C0013221
C0004259	C0428977
C0004259	C0042164
C0004259	C0037188
C0004259	C0032343
C0004259	C0038358
C0041175	C0001122
C0006710	C0020598
C0006710	C0042850
C0006710	C0029458
C0032857	C0009450
C0032857	C0006434
C0032857	C0034530
C0032857	C0038160
C0032857	C0038941
C0032857	C0023223
