from	to
C0046056	N0000000205
C4550366	N0000187062
C4550366	N0000193936
C4550366	N0000191423
C4550366	N0000182139
C4550366	N0000182141
C4550366	N0000187061
C4550366	N0000193984
C4550366	N0000190115
C4550366	N0000020025
C4550366	N0000182632
C4550366	N0000009957
C4550366	N0000185503
C0006246	N0000000190
C0085272	N0000175654
C0085272	N0000000255
C0012695	N0000000087
C0012695	N0000175962
C0012695	N0000175089
C0002555	N0000175921
C0002555	N0000175080
C0002555	N0000000162
C0085173	N0000000190
C0754647	N0000000256
C0754647	N0000175763
C0754647	N0000175764
C0016296	N0000000118
C0016296	N0000000196
C0008273	N0000181005
C2587184	N0000000231
C2001856	N0000175075
C0754011	N0000182632
C0754011	N0000187062
C0754011	N0000182137
C0073633	N0000182137
C0073633	N0000187061
C0073633	N0000190114
C0073633	N0000185503
C0002598	N0000181004
C0002598	N0000185503
C0002598	N0000190114
C0002598	N0000000211
C0002598	N0000185504
C0002598	N0000000161
C0002598	N0000000069
C0002598	N0000182138
C0002598	N0000182137
C4482908	N0000000150
C4482908	N0000190114
C4482908	N0000182141
C0296800	N0000000190
C3179547	N0000191494
C0060304	N0000182140
C0060304	N0000182139
C0060304	N0000182141
C0060304	N0000187061
C0060304	N0000190115
C0060304	N0000182138
C0060304	N0000187064
C0060304	N0000190111
C0060304	N0000190107
C0060304	N0000190108
C0060304	N0000193932
C0060304	N0000190110
C0060304	N0000191266
C0060304	N0000182137
C0060304	N0000191423
C4053698	N0000193932
C4053698	N0000190113
C4053698	N0000182138
C4053698	N0000193929
C4053698	N0000191423
C4053698	N0000175082
C4053698	N0000185503
C0035629	N0000175542
C0035629	N0000000193
C1738934	N0000190115
C1738934	N0000182638
C1738934	N0000182141
C0053570	N0000009957
C0053570	N0000182136
C4733494	N0000191499
C4733494	N0000191498
C3529928	N0000185506
C3529928	N0000194051
C3529928	N0000181003
C0011812	N0000000114
C0011812	N0000000184
C0011812	N0000000102
C0172907	N0000009957
C0146011	N0000009918
