Posting ID	Sponsor	Study Title	Medicine or Vaccine (generic name)	Sponsor Identification Number	Medical Condition	Phase	Link to Sponsor Study Registry	Link to study details on ClinicalTrials.gov (if available)	Link to study details on EudraCT (if available)	Analysis-ready dataset	Annotated case report form	Clinical study report	Dataset specifications	Protocol with any amendments	Raw dataset	Reporting and analysis plan	Additional Information about the data and documents available for this study	Date Added to this Site	CUI_umls	preferred_umls_name	semantic_type	high_confidence
1	GSK	U0289-401: An Evaluator Blinded, 8 Week, Split-Face Study to Evaluate and Compare the Efficacy and Tolerability of MAXCLARITY II and PROACTIV in Subjects with Acne	benzoyl peroxide/salicylic acid	STF114550	Acne Vulgaris	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=114550	http://clinicaltrials.gov/show/NCT01706250		N	Y	Y	Y	N	Y	N	An analysis-ready dataset and a reporting and analysis plan are not available for this study. A protocol is not available for this study because only a draft version was located; no final version found in archives.	1-Aug-2015	C0005088;C0036079	benzoyl peroxide;salicylic acid	Organic Chemical|Pharmacologic Substance;Organic Chemical|Pharmacologic Substance	True;True
3	GSK	GSK1550188, A randomised, single-blind, placebo controlled, dose ascending, single dose study to evaluate the safety, tolerability, pharmacokinetics, and pharmacodynamic of GSK1550188 in Japanese subjects with Systemic Lupus Erythematosus (SLE)	belimumab	BEL114243	Systemic Lupus Erythematosus	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=114243	http://clinicaltrials.gov/show/NCT01381536		N	Y	Y	Y	N	Y	Y	An analysis-ready dataset is not available for this study. A protocol is not available for this study because an English language version was not created.	1-Jul-2015	C1723401	belimumab	Amino Acid, Peptide, or Protein|Pharmacologic Substance|Immunologic Factor	True
4	GSK	A Multicenter, Randomized, Double-Blind, Phase 3 Study of the Safety and Efficacy of Emulsion Formulation U0267, versus Vehicle in Subjects with Plaque-type Psoriasis	calcipotriol, calcipotriene	STF114741	Psoriasis	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=114741	http://clinicaltrials.gov/show/NCT00688519		Y	Y	Y	Y	Y	Y	Y		1-Jul-2015	C0065767	calcipotriene	Organic Chemical|Pharmacologic Substance	True
8	GSK	Two-week Study to Determine and Compare the Tolerance and Irritation Potential of Duac® Topical Gel (clindamycin 1% and benzoyl peroxide 5%) to ACANYA™ Gel (clindamycin phosphate 1.2% and benzoyl peroxide 2.5%) Topical Acne Medications	benzoyl peroxide/clindamycin phosphate	STF114546	Acne Vulgaris	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=114546	http://clinicaltrials.gov/show/NCT01015638		N	N	Y	Y	Y	Y	N	An analysis-ready dataset and reporting and analysis plan are not available for this study. An annotated case report form is not available for this study. A blank case report form will be provided.	1-Aug-2014	C0005088;C0055881	benzoyl peroxide;clindamycin phosphate	Organic Chemical|Pharmacologic Substance;Organic Chemical|Antibiotic	True;True
9	GSK	A single-blind, randomized, comparative split-face study evaluating the tolerability of clindamycin and benzoyl peroxide gel to benzoyl peroxide/adapalene gel in the treatment of acne vulgaris.	benzoyl peroxide/clindamycin phosphate	STF114547	Acne Vulgaris	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=114547	http://clinicaltrials.gov/show/NCT00964223		Y	Y	Y	Y	Y	N	Y	A raw dataset is not available for this study.	1-Aug-2014	C0005088;C0055881	benzoyl peroxide;clindamycin phosphate	Organic Chemical|Pharmacologic Substance;Organic Chemical|Antibiotic	True;True
10	GSK	A Phase 4, Single-Blind, Randomized, Study to Compare the Tolerability and Efficacy of Tazorac Cream when used in Combination with Either Duac Gel or Acanya Gel for the Treatment of Facial Acne Vulgaris	benzoyl peroxide/clindamycin phosphate	STF114566	Acne Vulgaris	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=114566	http://clinicaltrials.gov/show/NCT01016977		Y	Y	Y	Y	Y	N	Y	A raw dataset is not available for this study.	1-Aug-2014	C0005088;C0055881	benzoyl peroxide;clindamycin phosphate	Organic Chemical|Pharmacologic Substance;Organic Chemical|Antibiotic	True;True
11	GSK	A Phase 3 Multicenter, Randomized, Double-Blind, Active And Vehicle-Controlled Study Of The Safety And Efficacy Of A Clindamycin / Benzoyl Peroxide Gel Versus Clindamycin Gel Versus Benzoyl Peroxide Gel Versus Vehicle Gel In Subjects With Acne Vulgaris	benzoyl peroxide/clindamycin phosphate	STF114677	Acne Vulgaris	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=114677	http://clinicaltrials.gov/show/NCT00776919		Y	Y	Y	Y	Y	N	Y	A raw dataset is not available for this study.	1-Aug-2014	C0005088;C0055881	benzoyl peroxide;clindamycin phosphate	Organic Chemical|Pharmacologic Substance;Organic Chemical|Antibiotic	True;True
12	GSK	A Multicenter, Randomized, Double-Blind Study of the Safety and Efficacy of Calcipotriene Foam, 0.005%, Versus Vehicle Foam In The Treatment Of Moderate Plaque-Type Scalp And Body Psoriasis	calcipotriol, calcipotriene	STF114743	Psoriasis	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=114743	http://clinicaltrials.gov/show/NCT01139580		N	Y	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study.	1-May-2013	C0065767	calcipotriene	Organic Chemical|Pharmacologic Substance	True
13	GSK	A study to evaluate the potential incidence of orthostatic hypotension in elderly hypertensive patients following administration of a combination of carvedilol CR and lisinopril	carvedilol	CFD109701	Hypertension	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=CFD109701	http://clinicaltrials.gov/show/NCT00508365		Y	Y	Y	Y	Y	Y	Y		1-May-2013	C0054836	carvedilol	Organic Chemical|Pharmacologic Substance	True
14	GSK	COR111096, A Randomized, Double-Blind, Active-Controlled, Parallel Group, Multicenter Study Comparing the Proportion of Subjects with Stage 1 or 2 Essential Hypertension Who Achieve Target Blood Pressure While Receiving Either carvedilol CR + lisinopril or lisinopril Monotherapy	carvedilol	COR111096	Hypertension	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=COR111096	http://clinicaltrials.gov/show/NCT00624065		Y	Y	Y	Y	Y	Y	Y		1-May-2013	C0054836	carvedilol	Organic Chemical|Pharmacologic Substance	True
