from	to
1	UMLS/C0001144
3	UMLS/C0024141
4	UMLS/C0033860
8	UMLS/C0001144
9	UMLS/C0001144
10	UMLS/C0001144
11	UMLS/C0001144
12	UMLS/C0033860
13	UMLS/C0020538
14	UMLS/C0020538
16	UMLS/C0027497
19	UMLS/C0001144
20	UMLS/C0011603
21	UMLS/C0024115
22	UMLS/C0024115
23	UMLS/C0024115
32	UMLS/C0035455
33	UMLS/C0035455
34	UMLS/C0035455
35	UMLS/C0035455
36	UMLS/C0035455
37	UMLS/C0035455
38	UMLS/C0035455
39	UMLS/C0035455
40	UMLS/C0004096
41	UMLS/C0004096
42	UMLS/C0004096
43	UMLS/C0024115
44	UMLS/C0024115
45	UMLS/C0024115
46	UMLS/C0024115
47	UMLS/C0004096
48	UMLS/C0948089
49	UMLS/C0013922
50	UMLS/C0040053
51	UMLS/C0035455
52	UMLS/C0004096
53	UMLS/C0525045
54	UMLS/C0014544
55	UMLS/C0005586
56	UMLS/C0005586
74	UMLS/C0020557
79	UMLS/C0011854
80	UMLS/C0011854
82	UMLS/C0011581
101	UMLS/C0009450
102	UMLS/C0009450
103	UMLS/C0009450
104	UMLS/C0009450
105	UMLS/C0014544
106	UMLS/C0004153
107	UMLS/C0016658
108	UMLS/C0029456
110	UMLS/C0030567
111	UMLS/C0030567
112	UMLS/C0035258
113	UMLS/C0035258
114	UMLS/C0002395
115	UMLS/C0002395
116	UMLS/C0002395
117	UMLS/C0002395
118	UMLS/C0011860
119	UMLS/C0011860
120	UMLS/C0035455
121	UMLS/C0149931
122	UMLS/C0149931
123	UMLS/C0149931
124	UMLS/C0001144
125	UMLS/C0001144
128	UMLS/C0851578
132	UMLS/C0009450
134	UMLS/C0009450
135	UMLS/C0043167
135	UMLS/C0012546
135	UMLS/C0019163
135	UMLS/C0032371
136	UMLS/C0043167
136	UMLS/C0012546
136	UMLS/C0121772
136	UMLS/C0019163
136	UMLS/C0032371
137	UMLS/C0043167
137	UMLS/C0012546
137	UMLS/C0121772
137	UMLS/C0019163
137	UMLS/C0032371
138	UMLS/C0043167
138	UMLS/C0012546
140	UMLS/C0043167
140	UMLS/C0012546
140	UMLS/C0121772
140	UMLS/C0019163
140	UMLS/C0027575
140	UMLS/C0032371
141	UMLS/C0012546
141	UMLS/C0121772
141	UMLS/C0019163
141	UMLS/C0043167
142	UMLS/C0012546
142	UMLS/C0121772
142	UMLS/C0019163
142	UMLS/C0043167
143	UMLS/C0026780
143	UMLS/C0035920
143	UMLS/C0008049
144	UMLS/C0026780
144	UMLS/C0035920
144	UMLS/C0008049
145	UMLS/C0026780
145	UMLS/C0035920
145	UMLS/C0008049
146	UMLS/C0043167
146	UMLS/C0012546
147	UMLS/C0043167
147	UMLS/C0012546
148	UMLS/C0043167
148	UMLS/C0012546
149	UMLS/C0043167
