from	to
51	Gsk256066
52	Gw870086
120	Sb705498
157	Gsk1388442a
319	Gsk932121
433	Gsk2018682
2429	Gsk2018682
2430	Gsk2018682
2448	Sb705498
2449	Sb705498
2450	Sb705498
2770	Gsk2590066a
3143	Gsk2245840
3144	Gw678007
3269	Gsk159802
3270	Gsk159802
3272	Gsk2245840
3273	Gsk2245840
3274	Gsk2245840
3275	Gsk2245840
3276	Gsk2245840
3277	Gsk2245840
3278	Gsk2245840
3279	Gsk2245841
3280	Gw597901
3281	Gw597901
3282	Gw678007
3353	Srt501
3435	Gsk2239633
3436	Gsk2239633
3437	Gw766994
3438	Gw799943
3439	Gw870086
3440	Gw870086
3469	Sb705498
3470	Sb705498
3471	Sb705498
3538	Gsk1004723
3539	Gsk1004723
3540	Gsk1004723
3540	Gsk835726
3541	Gsk1018921
3541	Gsk931145
3542	Gsk1059615
3543	Gsk1070806
3544	Gsk1292263
3545	Gsk1292263
3546	Gsk1292263
3547	Gsk1292263
3548	Gsk1322322
3549	Gsk1322322
3550	Gsk1322322
3551	Gsk1322322
3552	Gsk1322322
3553	Gsk1322322
3554	Gsk1322322
3555	Gsk1322888
3556	Gsk1360707
3557	Gsk1482160
3558	Gsk1521498
3559	Gsk1521498
3560	Gsk1521498
3561	Gsk1521498
3562	Gsk1521498
3563	Gsk163090
3564	Gsk202405
3565	Gsk2245841
3566	Gsk2245841
3567	Gsk2245841
3568	Gsk2339345
3569	Gsk2339345
3570	Gsk2374697
3571	Gsk239512
3572	Gsk239512
3573	Gsk239512
3574	Gsk2434735
3575	Gsk2485852
3578	Gsk256073
3579	Gsk2849466
3580	Gsk315234
3581	Gsk461364
3582	Gsk598809
3583	Gsk598809
3584	Gsk618334
3585	Gsk618334
3586	Gsk679586
3587	Gsk704838
3588	Gsk835726
3589	Gsk835726
3590	Gsk958108
3591	Gw273225
3592	Gw274150
3593	Gw328267
3594	Gw328267
3595	Gw328267
3596	Gw328267
3597	Gw559090
3598	Gw559090
3599	Gw677954
3600	Gw677954
3601	Gw784568
3602	Gw799943
3603	Gw870086
3604	Gw870086
3605	Gw870086
3623	Sb649868
3624	Sb756050
3625	Sb756050
3653	Gsk239512
3715	Gsk1034702
3716	Gsk1034702
3717	Gsk1034702
3718	Gsk424887
3719	Gw328267
3786	Gsk1360707
3787	Gsk2245840
3788	Gsk2245840
3789	Gsk256073
3885	Gsk2336805
3886	Gsk690693
3888	Sb649868
3921	Gsk239512
3974	Gsk1070806
3975	Gsk1362885
3976	Gsk1362885
4010	Gsk2256098
4011	Gsk2339345
4113	Gsk2800528
